,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,L’ordinateur avec le programme dont jean se servait est en panne .,Les ordinateurs avec le programme dont jean se servait sont en panne .,L’ordinateur avec les programmes dont jean se servait est en panne .,Les ordinateurs avec les programmes dont jean se servait sont en panne .,L’ordinateur avec le programme de l’expérience dont jean se servait est en panne .,Les ordinateurs avec le programme de l’expérience dont jean se servait sont en panne .,L’ordinateur avec les programmes de l’expérience dont jean se servait est en panne .,Les ordinateurs avec les programmes de l’expérience dont jean se servait sont en panne .,Les ordinateurs avec les programmes de l’expérience dont jean se servait est en panne .,Les ordinateurs avec les programmes de l’expérience de l’adulte dont jean se servait sont en panne .,Les ordinateurs avec les programmes et l’expérience dont jean se servait sont en panne .,L’ordinateur avec les programmes de l’expérience dont jean se servait sont en panne .,Les ordinateurs avec le programme de l’expérience dont jean se servait sont en panne .,True,False,False,False,False,False,True,agreement_error,mis_num,coordination,N1_alter,N2_alter
1,L’exposition avec la peinture dont le gouvernement n’a pas fait de rapport a rencontré un grand succès .,Les expositions avec la peinture dont le gouvernement n’a pas fait de rapport ont rencontré un grand succès .,L’exposition avec les peintures dont le gouvernement n’a pas fait de rapport a rencontré un grand succès .,Les expositions avec les peintures dont le gouvernement n’a pas fait de rapport ont rencontré un grand succès .,L’exposition avec la peinture de l’enfant dont le gouvernement n’a pas fait de rapport a rencontré un grand succès .,Les expositions avec la peinture de l’enfant dont le gouvernement n’a pas fait de rapport ont rencontré un grand succès .,L’exposition avec les peintures de l’enfant dont le gouvernement n’a pas fait de rapport a rencontré un grand succès .,Les expositions avec la peinture de l’enfant dont le gouvernement n’a pas fait de rapport ont rencontré un grand succès .,Les expositions avec les peintures de l’enfant dont le gouvernement n’a pas fait de rapport ont rencontré un grand succès .,Les expositions avec les peintures de l’enfant de la crèche dont le gouvernement n’a pas fait de rapport ont rencontré un grand succès .,Les expositions avec les peintures de l’enfant dont le gouvernement n’a pas fait de rapport a rencontré un grand succès .,Les expositions avec les peintures et l’enfant dont le gouvernement n’a pas fait de rapport ont rencontré un grand succès .,L’exposition avec les peintures de l’enfant dont le gouvernement n’a pas fait de rapport ont rencontré un grand succès .,False,True,False,False,False,False,N2_alter,True,mis_num,agreement_error,coordination,N1_alter
2,Le trousseau avec la clé dont marie se sert repose sur l’étagère .,Les trousseaux avec la clé dont marie se sert reposent sur l’étagère .,Le trousseau avec les clés dont marie se sert repose sur l’étagère .,Les trousseaux avec les clés dont marie se sert reposent sur l’étagère .,Le trousseau avec la clé de la cellule dont marie se sert repose sur l’étagère .,Les trousseaux avec la clé de la cellule dont marie se sert reposent sur l’étagère .,Le trousseau avec les clés de la cellule dont marie se sert repose sur l’étagère .,Les trousseaux avec la clé de la cellule dont marie se sert reposent sur l’étagère .,Les trousseaux avec les clés de la cellule dont marie se sert repose sur l’étagère .,Les trousseaux avec les clés de la cellule du prisonnier dont marie se sert reposent sur l’étagère .,Les trousseaux avec les clés de la cellule dont marie se sert reposent sur l’étagère .,Le trousseau avec les clés de la cellule dont marie se sert reposent sur l’étagère .,Les trousseaux avec les clés et la cellule dont marie se sert reposent sur l’étagère .,False,False,False,True,False,False,N2_alter,agreement_error,mis_num,True,N1_alter,coordination
3,Le livre sur la privatisation dont l’éditeur est fier a enthousiasmé l’auditoire .,Les livres sur la privatisation dont l’éditeur est fier ont enthousiasmé l’auditoire .,Le livre sur les privatisations dont l’éditeur est fier a enthousiasmé l’auditoire .,Les livres sur les privatisations dont l’éditeur est fier ont enthousiasmé l’auditoire .,Le livre sur la privatisation de l’entreprise dont l’éditeur est fier a enthousiasmé l’auditoire .,Les livres sur la privatisation de l’entreprise dont l’éditeur est fier ont enthousiasmé l’auditoire .,Le livre sur les privatisations de l’entreprise dont l’éditeur est fier a enthousiasmé l’auditoire .,Les livres sur les privatisations et l’entreprise dont l’éditeur est fier ont enthousiasmé l’auditoire .,Le livre sur les privatisations de l’entreprise dont l’éditeur est fier ont enthousiasmé l’auditoire .,Les livres sur les privatisations de l’entreprise dont l’éditeur est fier a enthousiasmé l’auditoire .,Les livres sur les privatisations de l’entreprise dans la ville dont l’éditeur est fier ont enthousiasmé l’auditoire .,Les livres sur les privatisations de l’entreprise dont l’éditeur est fier ont enthousiasmé l’auditoire .,Les livres sur la privatisation de l’entreprise dont l’éditeur est fier ont enthousiasmé l’auditoire .,False,False,False,False,True,False,coordination,N1_alter,agreement_error,mis_num,True,N2_alter
4,La conférence sur l’histoire dont l’organizateur m’a parlé a commencé plus tard que prévu .,Les conférences sur l’histoire dont l’organizateur m’a parlé ont commencé plus tard que prévu .,La conférence sur les histoires dont l’organizateur m’a parlé a commencé plus tard que prévu .,Les conférences sur les histoires dont l’organizateur m’a parlé ont commencé plus tard que prévu .,La conférence sur l’histoire de la guerre dont l’organizateur m’a parlé a commencé plus tard que prévu .,Les conférences sur l’histoire de la guerre dont l’organizateur m’a parlé ont commencé plus tard que prévu .,La conférence sur les histoires de la guerre dont l’organizateur m’a parlé a commencé plus tard que prévu .,Les conférences sur les histoires de la guerre dont l’organizateur m’a parlé a commencé plus tard que prévu .,Les conférences sur les histoires de la guerre de succession dont l’organizateur m’a parlé ont commencé plus tard que prévu .,Les conférences sur l’histoire de la guerre dont l’organizateur m’a parlé ont commencé plus tard que prévu .,Les conférences sur les histoires de la guerre dont l’organizateur m’a parlé ont commencé plus tard que prévu .,La conférence sur les histoires de la guerre dont l’organizateur m’a parlé ont commencé plus tard que prévu .,Les conférences sur les histoires et la guerre dont l’organizateur m’a parlé ont commencé plus tard que prévu .,False,False,False,True,False,False,agreement_error,mis_num,N2_alter,True,N1_alter,coordination
5,L’étude sur l’effet que l’auteur finance apparaîtra bientôt .,Les études sur l’effet que l’auteur finance apparaîtront bientôt .,L’étude sur les effet que l’auteur finance apparaîtra bientôt .,Les études sur les effet que l’auteur finance apparaîtront bientôt .,L’étude sur l’effet de la drogue que l’auteur finance apparaîtra bientôt .,Les études sur l’effet de la drogue que l’auteur finance apparaîtront bientôt .,L’étude sur les effet de la drogue que l’auteur finance apparaîtra bientôt .,L’étude sur les effet de la drogue que l’auteur finance apparaîtront bientôt .,Les études sur les effet de la drogue de la région que l’auteur finance apparaîtront bientôt .,Les études sur les effet de la drogue que l’auteur finance apparaîtront bientôt .,Les études sur les effet de la drogue que l’auteur finance apparaîtra bientôt .,Les études sur l’effet de la drogue que l’auteur finance apparaîtront bientôt .,Les études sur les effet et la drogue que l’auteur finance apparaîtront bientôt .,False,False,True,False,False,False,N1_alter,mis_num,True,agreement_error,N2_alter,coordination
6,La théorie sur le chant dont l’article parle divise les chercheurs .,Les théories sur le chant dont l’article parle divisent les chercheurs .,La théorie sur les chants dont l’article parle divise les chercheurs .,Les théories sur les chants dont l’article parle divisent les chercheurs .,La théorie sur le chant du canari dont l’article parle divise les chercheurs .,Les théories sur le chant du canari dont l’article parle divisent les chercheurs .,La théorie sur les chants du canari dont l’article parle divise les chercheurs .,Les théories sur le chant du canari dont l’article parle divisent les chercheurs .,Les théories sur les chants du canari de la montagne dont l’article parle divisent les chercheurs .,La théorie sur les chants du canari dont l’article parle divisent les chercheurs .,Les théories sur les chants du canari dont l’article parle divise les chercheurs .,Les théories sur les chants du canari dont l’article parle divisent les chercheurs .,Les théories sur les chants et le canari dont l’article parle divisent les chercheurs .,False,False,False,False,True,False,N2_alter,mis_num,N1_alter,agreement_error,True,coordination
7,L’inscription sur la porte que ma voisine appréciait a énervé sa mère .,Les inscriptions sur la porte que ma voisine appréciait ont énervé sa mère .,L’inscription sur les portes que ma voisine appréciait a énervé sa mère .,Les inscriptions sur les portes que ma voisine appréciait ont énervé sa mère .,L’inscription sur la porte de la chambre que ma voisine appréciait a énervé sa mère .,Les inscriptions sur la porte de la chambre que ma voisine appréciait ont énervé sa mère .,L’inscription sur les portes de la chambre que ma voisine appréciait a énervé sa mère .,Les inscriptions sur les portes de la chambre de la fille que ma voisine appréciait ont énervé sa mère .,Les inscriptions sur les portes de la chambre que ma voisine appréciait a énervé sa mère .,Les inscriptions sur les portes de la chambre que ma voisine appréciait ont énervé sa mère .,Les inscriptions sur la porte de la chambre que ma voisine appréciait ont énervé sa mère .,L’inscription sur les portes de la chambre que ma voisine appréciait ont énervé sa mère .,Les inscriptions sur les portes et la chambre que ma voisine appréciait ont énervé sa mère .,False,False,True,False,False,False,mis_num,agreement_error,True,N2_alter,N1_alter,coordination
8,Le dépliant sur l’enjeu que le journal mentionnait a beaucoup intéressé .,Les dépliants sur l’enjeu que le journal mentionnait ont beaucoup intéressé .,Le dépliant sur les enjeux que le journal mentionnait a beaucoup intéressé .,Les dépliants sur les enjeux que le journal mentionnait ont beaucoup intéressé .,Le dépliant sur l’enjeu de la communauté que le journal mentionnait a beaucoup intéressé .,Les dépliants sur l’enjeu de la communauté que le journal mentionnait ont beaucoup intéressé .,Le dépliant sur les enjeux de la communauté que le journal mentionnait a beaucoup intéressé .,Les dépliants sur l’enjeu de la communauté que le journal mentionnait ont beaucoup intéressé .,Les dépliants sur les enjeux et la communauté que le journal mentionnait ont beaucoup intéressé .,Les dépliants sur les enjeux de la communauté que le journal mentionnait ont beaucoup intéressé .,Les dépliants sur les enjeux de la communauté de la campagne que le journal mentionnait ont beaucoup intéressé .,Le dépliant sur les enjeux de la communauté que le journal mentionnait ont beaucoup intéressé .,Les dépliants sur les enjeux de la communauté que le journal mentionnait a beaucoup intéressé .,False,False,True,False,False,False,N2_alter,coordination,True,mis_num,N1_alter,agreement_error
9,La ligne sur le bord que ma cousine remarquait a disparu .,Les lignes sur le bord que ma cousine remarquait ont disparu .,La ligne sur les bords que ma cousine remarquait a disparu .,Les lignes sur les bords que ma cousine remarquait ont disparu .,La ligne sur le bord de la route que ma cousine remarquait a disparu .,Les lignes sur le bord de la route que ma cousine remarquait ont disparu .,La ligne sur les bords de la route que ma cousine remarquait a disparu .,Les lignes sur les bords de la route que ma cousine remarquait ont disparu .,Les lignes sur les bords et la route que ma cousine remarquait ont disparu .,Les lignes sur les bords de la route de la région que ma cousine remarquait ont disparu .,Les lignes sur les bords de la route que ma cousine remarquait a disparu .,Les lignes sur le bord de la route que ma cousine remarquait ont disparu .,La ligne sur les bords de la route que ma cousine remarquait ont disparu .,True,False,False,False,False,False,True,coordination,mis_num,agreement_error,N2_alter,N1_alter
10,La nappe sur la table que la mère nettoyait souvent brille au soleil .,Les nappes sur la table que la mère nettoyait souvent brillent au soleil .,La nappe sur les tables que la mère nettoyait souvent brille au soleil .,Les nappes sur les tables que la mère nettoyait souvent brillent au soleil .,La nappe sur la table du banquet que la mère nettoyait souvent brille au soleil .,Les nappes sur la table du banquet que la mère nettoyait souvent brillent au soleil .,La nappe sur les tables du banquet que la mère nettoyait souvent brille au soleil .,Les nappes sur les tables et le banquet que la mère nettoyait souvent brillent au soleil .,Les nappes sur les tables du banquet que la mère nettoyait souvent brille au soleil .,Les nappes sur les tables du banquet que la mère nettoyait souvent brillent au soleil .,La nappe sur les tables du banquet que la mère nettoyait souvent brillent au soleil .,Les nappes sur la table du banquet que la mère nettoyait souvent brillent au soleil .,Les nappes sur les tables du banquet de la grand-mère que la mère nettoyait souvent brillent au soleil .,False,False,True,False,False,False,coordination,agreement_error,True,N1_alter,N2_alter,mis_num
