Prefix	np-s	np-p	pp1-s	pp1art-s	pp1-p	pp1art-p	Conj1-s	Conj1-p	pp2-s	pp2art-s	pp2-p	pp2art-p	Conj2-s	Conj2-p	P3-s	P3-p	Conj3-s	Conj3-p	ROC-s	ROC-p	vp-s	vp-p	.
Ion presupune că	Calculatorul	Calculatoarele	cu program	cu programul	cu programe	cu programele	și programul	și programele	experimentului	experimentului	experimentelor	experimentelor	și experimentul	și experimentele	studentului	studentilor	și studentul	și studentii	de care Ion se folosea	de care Ion se folosea	este defect	sunt defecte	.
Guvernul afirma că	Expoziția	Expozițiile	cu pictură	cu pictura	cu picturi	cu picturile	și pictura	și picturile	artistului	artistului	artiștilor	artiștilor	și artistul	și artiștii	asociației	asociațiilor	și asociația	și asoctiațiile	despre care guvernul nu a raportat	despre care guvernul nu a raportat	a avut mare succes	au avut mare succes	.
Maria zice că	Brelocul	Brelocurile	cu cheie	cu cheia	cu chei	cu cheile	și cheia	și cheile	dulapului	dulapului	dulapurilor	dulapurilor	și dulapul	și dulapurile	biroului	birourilor	și biroul	și birourile	pe care Maria îl folosește	pe care Maria le folosește	este pe raft	sunt pe raft	.
Editorul a constatat că	Cartea	Carțile	despre privatizare	despre privatizarea	despre privatizări	despre privatizările	și privatizarea	și privatizarile	companiei	companiei	companiilor	companiilor	și compania	și companiile	în oraș	în orase	și orasul	și orasele	cu care editorul se mândrește	cu care editorul se mândrește	a entuziasmat publicul	au entuziasmat publicul	.
Organizatorul m-a informat că	Conferința	Conferințele	despre istorie	despre istoria	despre istorii	despre istoriile	și istoria	și istoriile	razboiului	razboiului	razboaielor	razboaielor	și razboiul	și razboaiele	de succesiune	de succesiuni	și succesiunea	și succesiunile	de care organizatorul mi-a spus	de care organizatorul mi-a spus	a început mai târziu decat era prevăzut	au inceput mai tarziu decat era prevazut	.
Autorul crede că	Studiul	Studiile	asupra efectului	asupra efectului	asupra efectelor	asupra efectelor	și efectul	și efectele	drogului	drogului	drogurilor	drogurilor	și drogul	și drogurile	regiunii	regiunilor	și regiunea	și regiunile	pe care autorul îl finanțează	pe care autorul le finanțează	va apare curând	vor aparea curand	.
Articolul a raportat că	Teoria	Teoriile	despre cântec	despre cântecul	despre cântece	despre cântecele	și cântecul	și cantecele	pasarii	pasarii	pasarilor	pasarilor	și pasărea	și păsările	de la munte	de la munți	și muntele	și munții	despre care vorbește cercetătorul	despre care vorbește cercetătorul	este respinsă de comisie	sunt respinse de comisie	.
Vecina a spus că	Inscripția	Inscripțiile	de pe ușă	de pe ușa	de pe uși	de pe ușile	și ușa	și ușile	camerei	camerei	camerelor	camerelor	și camera	și camerele	fetei	fetelor	și fata	și fetele	care i-a plăcut vecinei mele	care i-au plăcut vecinei mele	a supărat-o pe mama ei	au supărat-o pe mama ei	.
Ziarul a menționat că	Broșura	Broșurile	despre problemă	despre problema	despre probleme	despre problemele	și problema	și problemele	comunitatii	comunitatii	comunitatilor	comunitatilor	și comunitatea	și comunitatile	din mediul rural	din mediile rurale	și mediul rural	și mediile rurale	despre care s-a scris in ziar	despre care s-a scris in ziar	a fost de mare interes	au fost de mare interes	.
Vărul meu a spus că	Indicatorul	Indicatoarele	de la margine	de la marginea	de la margini	de la marginile	și marginea	și marginile	drumului	drumului	drumurilor	drumurilor	și drumul	și drumurile	regiunii	regiunilor	și regiunea	și regiunile	despre care mi-a spus vărul meu	despre care mi-a spus vărul meu	a dispărut	au dispărut	.
Iulia a realizat că	Șervețelul	Șervețelele	de pe masă	de pe masa	de pe mese	de pe mesele	și masa	și mesele	banchetului	banchetului	bancheturilor	bancheturilor	și banchetul	și bancheturile	bunicii	bunicilor	și bunica	și bunicile	pe care mama îl spală frecvent	pe care mama le spală frecvent	strălucește în lumină	strălucesc în lumină	.
Medicul notează că	Descrierea	Descrierile	evenimentului	evenimentului	evenimentelor	evenimentelor	și evenimentul	și evenimentele	din spital	din spitalul	din spitale	din spitalele	și spitalul	și spitalele	de lângă front	de lângă fronturi	și frontul	și fronturile	despre care medicul a scris	despre care medicul a scris	a impresionat jurnaliștii	au impresionat jurnaliștii	.
Nepoata a văzut că	Vizita	Vizitele	la expoziție	la expoziția	la expoziții	la expozițiile	și expoziția	și expozițiile	artizanului	artizanului	artizanilor	artizanilor	și artizanul	și artizanii	din sat	din sate	și satul	și satele	despre care mi-a spus nepoata mea	despre care mi-a spus nepoata mea	va avea loc curând	vor avea loc curând	.
Președintele constată că	Anunțul	Anunțurile	despre reformă	despre refoma	despre reforme	despre reformele	și reforma	și reformele	în școală	în școala	în școli	în școlile	și școala	și școlile	din sectorul medical	din sectoarele medicale	și sectorul medical	și sectoarele medicale	despre care președintele a vorbit	despre care președintele a vorbit	neliniștește doctorii	neliniștesc doctorii	.
Poliția a spus că	Elicopterul	Elicopterele	pentru zbor	pentru zborul	pentru zboruri	pentru zborurile	și zborul	și zborurile	deasupra canionului	deaspura canionului	deasupra canioanelor	deasupra canioanelor	și canionul	și canioanele	din rezervația naturală	din rezervațiile naturale	și rezervația naturala	și rezervațiile naturale	pe care poliția îl caută	pe care poliția le caută	s-a prăbușit	s-au prăbușit	.
Prietenul meu a observat că	Serata	Seratele	din apartament	din apartamentul	din apartamente	din apartamentele	și apartamentul	și apartamentele	de la subsol	de la subsolul	de la subsoluri	se la subsolurile	și subsolul	și subsolurile	clădirii	cladirilor	și clădirea	și cladirile	despre care m-a informat prietenul meu	despre care m-a informat prietenul meu	a deranjat vecinii	au deranjat vecinii	.
Spectatorii au aflat că	Producătorul	Producătorii	de film	de film	de filme	de filme	și filmul	și filmele	despre artist	despre artistul	despre artisti	despre artistii	și artistul	și artistii	din centrul orașului	din centrele oraselor	și centrul orașului	și centrele oraselor	pe care spectatori îl admiră	pe care spectatori îi admiră	a câștigat premiul	au câștigat premiul	.
Copiii mi-au spus că	Pisica	Pisicile	de pe acoperiș	de pe acoperișul	de pe acoperișuri	de pe acoperișurile	și acoperișul	și acoperișurile	vecinului	vecinului	vecinilor	vecinilor	și vecinul	și vecinilor	fratelui mei	fraților mei	și fratele meu	și frații mei	despre care au visat copiii	despre care au visat copiii	face zgomot de ieri seară	fac zgomot de ieri seară	.
Părinții mei au remarcat că	Câinele	Câinii	de pe pernă	de pe perna	de pe perne	de pe pernele	și perna	și pernele	copilului	copilului	copiilor	copiilor	și copilul	și copiilor	verisoarei mele	verisoarelor mele	și verișoara mea	și verisoarele mele	pe care părinții mei îl observă	pe care părinții mei îi observă	a adormit	au adormit	.
Colegii au văzut că	Grevistul	Greviștii	de pe scară	de pe scara	de pe scări	de pe scările	și scara	și scările	clădirii	clădirii	cladirilor	cladirilor	și clădirea	și cladirile	uzinei	uzinelor	și uzina	și uzinele	despre care colegii erau îngrijorați	despre care colegii erau îngrijorați	a blocat intrarea	au blocat intrarea	.
Administratorii au notat că 	Arhitectul	Arhitecții	vilei	vilei	vilelor	vilelor	și vila	și vilele	milionarului	milionarului	milionarilor	milionarilor	și milionarul	și milionarii	de pe insulă	de pe insule	și insula	și insulele	pe care aministratorul îl cunoaște	pe care aministratorul îi cunoaște	a pierdut planurile	au pierdut planurile	.
Jurnaliștii au raportat că 	Victima	Victimele	asaltului	asaltului	asalturilor	asalturilor	și asaltul	și asalturile	polițistului	polițistului	polițiștilor	polițiștilor	și polițistul	și polițiștii	de la comisariat	de la comisariate	și comisariatul	și comisariatele	la care jurnaliștii au asistat	la care jurnaliștii au asistat	a făcut reclamație	au făcut reclamație	.
Sătenii au constatat că 	Hoțul	Hoții 	mașinii	mașinii	mașinilor	mașinilor	și mașina	și mașinile	mecanicului	mecanicului	mecanicilor	mecanicilor	și mecanicul	și mecanicii	din cartier	din cartiere	și cartierul	și cartierele	pe care săteni îl caută 	pe care săteni îi caută 	a făcut un accident	au făcut un accident	.
Cetățenii au aflat că	Responsabilul	Responsabilii	pentru protecție	pentru protecția	pentru protecții	pentru protecțiile	și protecția	și protecțiile	imigrantului	imigrantului	imigrantilor	imigrantilor	și imigrantul	și imigrantii	din port	din porturi	și portul	și porturile	pe care cetățenii îl cunosc	pe care cetățenii îi cunosc	va demisiona	vor demisiona	.
Copiii spun că	Copacul	Copacii	din parc	din parcul	din parcuri	din parcurile	și parcul	și parcurile	aproape de centru	aproape de centrul	aproape de centre	aproape de centrele	și centrul	și centrele	curții	curtilor	și curtea	și curtile	pe lângă care se joacă copiii	pe lângă care se joacă copiii	a înflorit	au înflorit	.
Procurorii cred că	Avocatul	Avocații	infractorului	infractorului	infractorilor	infractorilor	și infractorul	și infractorii	din sat	din satul	din sate	din satele	și satul	și satele	aproape de lac	aproape de lacuri	și lacul	și lacurile	pe care procurorul îl așteaptă	pe care procurorul îi așteaptă	va reveni	vor reveni	.
Fermierii au spus că	Semința	Semințele	din laborator	din laboratorul	din laboratoare	din laboratoarele	și laboratorul	și laboratoarele	din campus	din campusul	din campusuri	din campusurile	și campusul	și campusurile	universității	universitatilor	și universitatea	și universitatile	pe care studenții o studiază 	pe care studenții le studiază 	dă rezultate promițătoare	dau rezultate promițătoare	.
Verii mei observă că	Prietena	Prietenele	proprietarului	proprietarului	proprietarilor	proprietarilor	și proprietarul	și proprietarii	casei	casei	caselor	caselor	și casa	și casele	colegului meu	colegilor mei	și colegul meu	și colegii mei	pe care o adoră verii mei	pe care le adoră verii mei	a adormit pe plajă	au adormit pe plajă	.
Vecinii găsesc că	Acompaniatorul	Acompaniatorii	solistului	solistului	soliștilor	soliștilor	și solistul	și soliștii	din spectacol	din spectacolul	din spectacole	din spectacolele	și spectacolul	și spectacolele	din piață	din piete	și piața	și piatele	pe care cetățenii îl apreciază	pe care cetățenii îi apreciază	a cântat minunat	au cântat minunat	.
Prietenii mei spun că	Profesorul	Profesorii	fratelui meu	fratelui meu	fraților mei	fraților mei	și fratele meu	și frații mei	din poză	din poza	din poze	din pozele	și poza	și pozele	de pe etajeră	de pe etajere	și etajera	și etajerele	pe care prietenii mei îl cunosc	pe care prietenii mei îi cunosc	este o celebritate	sunt celebrități	.
Colegii știu că	Antrenorul	Antrenorii	câștigătorului	câștigătorului	câștigătorilor	câștigătorilor	și câștigătorul	și câștigătorii	meciului	meciului	meciurilor	meciurilor	și meciul	și meciul	de eliminare	de eliminari	și eliminarea	și eliminarile	pe care îl preferă colegii mei	pe care îi preferă colegii mei	va primi o recompensă	vor primi o recompensă	.
Vecinii speră că	Posesorul	Posesorii	papagalului	papagalului	papagalilor	papagalilor	și papagalul	și papagalii	din copac	din copacul	din copaci	din copacii	și copacul	și copacii	din grădină	din grădini	și grădina	și grădinile	care îi deranjează pe vecinii	care îi deranjează pe vecinii	va veni	vor veni	.
