ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
0	Someone will hang flowers on the ceiling.	Butter was basted by people.	The product was seeded into the soil by the developers.	The gas was pumped into the cooler.	Poles were sewed by the soldiers.	The straps were sewed with the fabric by the guards.	The ground was sown with the grain.	Logan wraps his neck with the chain.	They were smudged the pages with blotches of ink.	The noodles splatter the grill the grease.	Sprinkle over soup with the powder.	Someone wraps the body from somewhere.	The bartender brushed the glass under the liquid.	The place spurts this with dirt.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB3 PNounA2	NounBPass2 VerbPass PSubj2	NounBPass1 VerbPass PNounA3 PSubj1	NounBPass4 VerbPass PNounA5
1	The narrator showers curiosity onto the reader.	The sauce was basted by the monks.	The green liquid was spurted all over the place by it.	The yummy almond butter was spread all over the pastry.	The dirt was smeared by the machine.	The fish was spritzed with the sauce by the locals.	The galaxy was scattered with the dragons.	The band plastered the vinyls with the image.	The buyer was loaded the suitcase with the tools.	The priest strung the fireplace these lights.	The students use the rolled up package to spread all over the rice cake with the mixture.	Merlin scatters the galaxy of Mercury.	Aristotle showers visitors under curiosity.	The walls smeared the machine with the chocolate.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB2 PNounA1	NounBPass5 VerbPass PSubj5	NounBPass1 VerbPass PNounA5 PSubj1	NounBPass4 VerbPass PNounA4
2	The author strews the humor in the figures.	Some of the chemicals were sprayed by the artist.	The fabric was sewed onto canvas by the guards.	Milk was splashed all over the table.	The pipes were pumped by the driver.	I was wrapped with it by him.	It was basted with wine.	Then they sewed the straps with heavier material.	The librarian was brushed the glass with the ink.	The cooks sprinkle the noodles the powder.	The dog spatters over the snow with whatever was on the wheel.	The man smeared the table of chickpeas.	Reporters smudge the pages under grease.	The sink sprayed me with some of the paint.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB3 PNounA2	NounBPass1 VerbPass PSubj1	NounBPass5 VerbPass PNounA1 PSubj5	NounBPass2 VerbPass PNounA3
3	Archaeologists clean the filter monthly and swash the liquid over the sink.	The letters were hung by the artist.	Some of the paint was sprayed into the bathroom by me.	Torani caramel sauce was drizzled over the cake.	The table was splashed by someone.	The stain was smeared with paint by my child.	A box was sticked with the contents.	We like to baste it with wine.	The engineers were seeded bacteria with helium.	The chefs sprinkle the noodles a little hot pepper.	The villagers sow on the earth with the vines.	The locals spritz the soup from Dijon.	Drizzle cream under the sugar.	The vinyls plastered the record company with a big label.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB4 PNounA1	NounBPass3 VerbPass PSubj3	NounBPass3 VerbPass PNounA4 PSubj3	NounBPass1 VerbPass PNounA4
4	Customers have to squirt a tiny bit of oil in everything.	The chips were spritzed by the fishermen.	The syrup was drizzled over the cake by the ladies.	Wine was basted over potatoes.	Here was splattered by the pancakes.	Everything was spurted with dirt by this.	The floor was splashed with the juice.	The blacksmith sewed the canvas with the leaves.	The developers were seeded bacteria with the product.	The monks baste potatoes vinegar.	The customer can can load in the box with packages.	This spurts the floor from the ceiling.	Farmers have to squirt the pot under butter.	The suitcase can load the customer with supplies.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB3 PNounA5	NounBPass5 VerbPass PSubj5	NounBPass1 VerbPass PNounA3 PSubj1	NounBPass2 VerbPass PNounA2
5	Someone sprayed some of the paint into the wall.	The product was seeded by the developers.	It was hung on the balcony by me.	Monsters were scattered all over earth.	The biomedia was swashed by scientists.	The atmosphere was seeded with the product by the developers.	Your cup was drizzled with the Torani caramel sauce.	The bartender brushed the surface with liquid.	The director was strewed figures with humor.	The novelist strews figures the humor.	Bob just sticks in the center with the seeds.	The villagers spritz cheese from Italy.	The orb scatters the planet under the dragons.	The meat baste us with different types of marinades.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB1 PNounA5	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA2 PSubj2	NounBPass3 VerbPass PNounA1
6	I strung silk over it.	Heavier material was sewed by them.	Saliva was smeared all over the walls by the cat.	Monsters were scattered all over earth.	The fridge was sticked by the other place.	It was splashed with the juice by the bartender.	The planet was scattered with the crystals.	The man smeared the floor with mustard.	Customers were squirted everything with water.	The workers sewed the sheets ropes.	The blacksmith sewed onto the boards with the leaves.	You simply rub the writing marks of the humanoid robot.	The blacksmith sewed the carpet under the leaves.	The bridge strung Moses with wires.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB1 PNounA4	NounBPass5 VerbPass PSubj5	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass1 VerbPass PNounA3
7	This spurts the green liquid all over everything.	Butter was basted by people.	They were loaded in bags by users.	The ribbon was strung over it.	The dragon world was scattered by the orb.	The roof was sewed with cloth by the blacksmith.	The sponge was squirted with water.	The soldiers sewed the carpet with ropes.	The rain was spurted the place with the stench.	The engineers swash the well paint.	Drizzle over the filling with brandy.	The noodles splatter the surface from the valley.	The soldiers sewed the boards under heavier material.	The soil sow the monks with the grain.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB5 PNounA4	NounBPass4 VerbPass PSubj4	NounBPass2 VerbPass PNounA3 PSubj2	NounBPass1 VerbPass PNounA2
8	The locals spritz vinegar over the fish.	Wine was basted by locals.	The facts were showered onto the reader by the author.	The tools were loaded in the box.	The suitcase was loaded by the buyer.	Cheese was spritzed with mustard by the cooks.	It was pumped with regular air.	The researchers promote a strategy to seed algae with the product.	The author was showered people with the results.	The technician swab the mug the liquid.	The tomatoes splatter all over the grill with water.	Water spurts the place of garbage.	The engineers swash the sink under paint.	The place spurts the rain with the stench.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB2 PNounA2	NounBPass1 VerbPass PSubj1	NounBPass4 VerbPass PNounA1 PSubj4	NounBPass2 VerbPass PNounA4
9	The cooks sprinkle the mustard over the noodles.	The dust was smudged by the editors.	The dust was spurted all over the place by the breeze.	The food was sticked in a box.	The luggage was loaded by me.	Vinyl was plastered with a big label by the record company.	The box was wrapped with the chain.	Burgers on a flat cast iron pan still splatter the surface with water.	Users were loaded the box with the food.	Homer strews characters irony.	The buyer can can load in the luggage with the tools.	The waiter drizzle cream of honey.	The locals spritz noodles under vinegar.	The dish drizzle the waiter with coffee.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB1 PNounA2	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA2 PSubj2	NounBPass4 VerbPass PNounA3
10	My child smeared the flour all over the room.	The dust was spurted by the breeze.	It was wrapped around the perimeter by him.	The dust was spurted all over the place.	The screen was rubbed by the developers.	It was swashed with the chemicals by the volunteers.	Noodles were spritzed with vinegar.	The fishermen spritz noodles with the sauce.	The quartet was plastered the cassettes with logos.	Logan wraps the body the chain.	Someone will hang on the balcony with flowers.	The waiter drizzle your cup of apples.	The director strews the book under irony.	The counter swash scientists with the liquid.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB2 PNounA1	NounBPass4 VerbPass PSubj4	NounBPass4 VerbPass PNounA5 PSubj4	NounBPass5 VerbPass PNounA1
11	The customer can can load the tools in the suitcase.	Paint was swashed by archaeologists.	Supplies were loaded in the cart by the customer.	Bandages were wrapped around the waist.	The sponge was squirted by you.	The reader was showered with enthusiasm by Aristotle.	Your counter was splashed with water.	Users can load the luggage with supplies.	Flanagan was strewed the story with plenty of historical backstory.	It spurts the place the green liquid.	The producers plastered on the cassettes with the image.	The cat smeared the table from Switzerland.	You sow the ground under weeds.	The dragon world scatters the orb with the creature.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB4 PNounA2	NounBPass2 VerbPass PSubj2	NounBPass3 VerbPass PNounA2 PSubj3	NounBPass4 VerbPass PNounA2
12	It spatters the mud over the floor.	The stench was spurted by the rain.	Curiosity was showered onto the audience by Watson.	The leather was sewed onto the carpet.	The pages were smudged by them.	The stain was smeared with the flour by the man.	The floor was spurted with the green liquid.	The miners have to squirt the pot with water.	The producers were plastered the cds with the image.	It spatters the floor dirt.	The villagers spritz over noodles with low fait oil.	The researchers promote a strategy to seed algae of the company.	Claire pumped the stove under the heat.	The dish drizzle the chefs with brandy.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB4 PNounA3	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA5 PSubj4	NounBPass5 VerbPass PNounA2
13	Whoever spatters the poison over the floor.	Venom was spattered by somebody.	Bandages were wrapped around the body by Logan.	Butter was squirted in the inside.	The pavement was spattered by the tire.	The beans were sprinkled with a little hot pepper by you.	The audience was showered with the contents.	Whoever spatters you with venom.	They were sewed the boards with heavier material.	The ladies drizzle the dish brandy.	My child smeared all over the room with paint.	The dog spatters the pavement of the garden.	The volunteers swash the sink under the chemicals.	The fridge sticks the operator with the seeds.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB5 PNounA5	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass4 VerbPass PNounA2
14	The operator sticks the seeds in the center.	Butter was spread by guests.	The egg was squirted in the inside by the farmers.	The sauce was basted over the vegetables.	The bottle was swabbed carefully by me.	The soup was spritzed with low fait oil by me.	It was rubbed with the pad.	The tomatoes splatter here with the stuffing.	I was swabbed the tissues with rubbing alcohol.	Chaos scatters earth gems.	Aristotle showers onto the students with enthusiasm.	The chefs sprinkle the bacon from sea.	Someone wraps the body under the chain.	The pot squirt the miners with the glue.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB1 PNounA5	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass2 VerbPass PNounA2
15	The crew sprayed some water into the bathroom.	The dust was spurted by the breeze.	Torani caramel sauce was drizzled over the cake by you.	Pencil was rubbed on the pages.	The luggage was loaded by users.	Storage was sticked with the contents by Alex.	The cart was loaded with supplies.	The elves strung the bridge with these lights.	Visitors were loaded the box with packages.	The dog spatters the windshield the poison.	Someone will hang on canvas with posters.	Mary carefully swab the bulbs for that specific item.	The waitress sprinkle eggs under the mustard.	Figures strews Homer with satire.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB5 PNounA3	NounBPass1 VerbPass PSubj1	NounBPass5 VerbPass PNounA5 PSubj5	NounBPass4 VerbPass PNounA2
16	Sprinkle salt over the bacon.	The humor was strewed by the director.	The sauce was basted over potatoes by the monks.	The stuff was sticked in the truck.	The galaxy was scattered by the wizard.	I was wrapped with bandages by Logan.	My wall was hung with it.	The artist will will hang my wall with flowers.	The cooks were sprinkled the noodles with the mustard.	The buyer can can load the box supplies.	Reporters smudge on the paper with suspiscion.	The locals spritz cheese of peanuts.	The developers promote a strategy to seed bacteria under helium.	The students showers him with excellent information.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB1 PNounA2	NounBPass1 VerbPass PSubj1	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA5
17	The researchers promote a strategy to seed helium into bacteria.	The title was plastered by the band.	It was brushed over the glass by me.	It was hung on the counter.	Characters were strewed by Flanagan.	The room was spurted with dirt by this.	The roof was sewed with cloth.	The producers plastered the cassettes with the image.	This was spurted the room with dirt.	The priest strung the windows the chain.	The priest strung over it with the chain.	The cooks spritz the potatoes from France.	Homer strews the film under sarcasm.	People showers Aristotle with enthusiasm.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB2 PNounA5	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass5 VerbPass PNounA4
18	The researchers promote a strategy to seed hydrogen into the soil.	Curiosity was showered by Watson.	The glue was squirted in the pot by the miners.	Wires were strung over the fireplace.	I was wrapped by Christian.	Earth was scattered with the creature by the orb.	Cd was plastered with the title.	Sprinkle the bacon with the powder.	It was spattered the floor with whatever was on the wheel.	The technician swab the mug the oil.	Moses strung over the fence with the ribbon.	Contestants have to squirt the inside from peanuts.	Teachers don't smudge the pages under sarcasm.	The box wraps Logan with bandages.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB2 PNounA3	NounBPass4 VerbPass PSubj4	NounBPass5 VerbPass PNounA5 PSubj5	NounBPass2 VerbPass PNounA2
