	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Sent_chunks_1	Sent_chunks_2	Sent_chunks_3	Sent_chunks_4	Sent_chunks_5	Sent_chunks_6	Sent_chunks_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_chunks_1	Answer_chunks_2	Answer_chunks_3	Answer_chunks_4	Answer_chunks_5	Answer_chunks_6	Answer_chunks_7	Answer_chunks_8
0	Becul cu program este defect .	Calculatoarele cu program sunt defecte .	Ziarul cu programe este defect .	Calculatoarele cu programe sunt defecte .	Calculatorul cu programul experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatorul cu programele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['becul', 'cu program', '', 'este defect', '.']	['Calculatoarele', 'cu program', '', 'sunt defecte', '.']	['ziarul', 'cu programe', '', 'este defect', '.']	['Calculatoarele', 'cu programe', '', 'sunt defecte', '.']	['calculatorul', 'cu programul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatorul', 'cu programele', 'experimentului', 'este defect', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
1	Postul cu program este defect .	Calculatoarele cu program sunt defecte .	Calculatorul cu programe este defect .	Calculatoarele cu programe sunt defecte .	Trenul cu programul experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Ceasul cu programele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['postul', 'cu program', '', 'este defect', '.']	['Calculatoarele', 'cu program', '', 'sunt defecte', '.']	['Calculatorul', 'cu programe', '', 'este defect', '.']	['Calculatoarele', 'cu programe', '', 'sunt defecte', '.']	['trenul', 'cu programul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['ceasul', 'cu programele', 'experimentului', 'este defect', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
2	Postul cu program este defect .	Calculatoarele cu program sunt defecte .	Ziarul cu programe este defect .	Calculatoarele cu programe sunt defecte .	Trenul cu programul experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatorul cu programele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['postul', 'cu program', '', 'este defect', '.']	['Calculatoarele', 'cu program', '', 'sunt defecte', '.']	['ziarul', 'cu programe', '', 'este defect', '.']	['Calculatoarele', 'cu programe', '', 'sunt defecte', '.']	['trenul', 'cu programul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['calculatorul', 'cu programele', 'experimentului', 'este defect', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
3	Panoul cu program este defect .	Calculatoarele cu program sunt defecte .	Calculatorul cu programe este defect .	Calculatoarele cu programe sunt defecte .	Ceasul cu programul experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatorul cu programele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['panoul', 'cu program', '', 'este defect', '.']	['Calculatoarele', 'cu program', '', 'sunt defecte', '.']	['calculatorul', 'cu programe', '', 'este defect', '.']	['Calculatoarele', 'cu programe', '', 'sunt defecte', '.']	['ceasul', 'cu programul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatorul', 'cu programele', 'experimentului', 'este defect', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
4	Calculatorul cu program este defect .	Calculatoarele cu program sunt defecte .	Postul cu programe este defect .	Calculatoarele cu programe sunt defecte .	Trenul cu programul experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Lucrul cu programele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Calculatorul', 'cu program', '', 'este defect', '.']	['Calculatoarele', 'cu program', '', 'sunt defecte', '.']	['postul', 'cu programe', '', 'este defect', '.']	['Calculatoarele', 'cu programe', '', 'sunt defecte', '.']	['trenul', 'cu programul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['lucrul', 'cu programele', 'experimentului', 'este defect', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
5	Calculatorul cu orar este defect .	Calculatoarele cu cablu sunt defecte .	Calculatorul cu linuxe este defect .	Calculatoarele cu radioe sunt defecte .	Calculatorul cu ceasul experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatorul cu șurubele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Calculatorul', 'cu orar', '', 'este defect', '.']	['Calculatoarele', 'cu cablu', '', 'sunt defecte', '.']	['Calculatorul', 'cu linuxe', '', 'este defect', '.']	['Calculatoarele', 'cu radioe', '', 'sunt defecte', '.']	['Calculatorul', 'cu ceasul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatorul', 'cu șurubele', 'experimentului', 'este defect', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
6	Calculatorul cu ceas este defect .	Calculatoarele cu program sunt defecte .	Calculatorul cu linuxe este defect .	Calculatoarele cu cablue sunt defecte .	Calculatorul cu firul experimentului este defect .	Calculatoarele cu radioul experimentului sunt defecte .	Calculatorul cu șurubele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Calculatorul', 'cu ceas', '', 'este defect', '.']	['Calculatoarele', 'cu program', '', 'sunt defecte', '.']	['Calculatorul', 'cu linuxe', '', 'este defect', '.']	['Calculatoarele', 'cu cablue', '', 'sunt defecte', '.']	['Calculatorul', 'cu firul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu radioul', 'experimentului', 'sunt defecte', '.']	['Calculatorul', 'cu șurubele', 'experimentului', 'este defect', '.']	Calculatoarele cu cabluele experimentului sunt defecte .	Calculatoarele cu cabluele experimentelor este defect .	Calculatoarele cu cabluele experimentului este defect .	Calculatoarele cu cabluele experimentului este defect .	Calculatoarele cu cabluul experimentului sunt defecte .	Calculatoarele cu cabluele experimentelor sunt defecte .	Calculatoarele cu cabluele și experimentele sunt defecte .	Calculatoarele cu cabluele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu cabluele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu cabluele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu cabluele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu cabluele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu cabluul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu cabluele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu cabluele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu cabluele', 'experimentului', 'studentilor', 'sunt defecte', '.']
7	Calculatorul cu cablu este defect .	Calculatoarele cu radio sunt defecte .	Calculatorul cu linuxe este defect .	Calculatoarele cu fire sunt defecte .	Calculatorul cu șurubul experimentului este defect .	Calculatoarele cu ceasul experimentului sunt defecte .	Calculatorul cu programele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Calculatorul', 'cu cablu', '', 'este defect', '.']	['Calculatoarele', 'cu radio', '', 'sunt defecte', '.']	['Calculatorul', 'cu linuxe', '', 'este defect', '.']	['Calculatoarele', 'cu fire', '', 'sunt defecte', '.']	['Calculatorul', 'cu șurubul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu ceasul', 'experimentului', 'sunt defecte', '.']	['Calculatorul', 'cu programele', 'experimentului', 'este defect', '.']	Calculatoarele cu firele experimentului sunt defecte .	Calculatoarele cu firele experimentelor este defect .	Calculatoarele cu firele experimentului este defect .	Calculatoarele cu firele experimentului este defect .	Calculatoarele cu firul experimentului sunt defecte .	Calculatoarele cu firele experimentelor sunt defecte .	Calculatoarele cu firele și experimentele sunt defecte .	Calculatoarele cu firele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu firele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu firele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu firele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu firele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu firul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu firele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu firele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu firele', 'experimentului', 'studentilor', 'sunt defecte', '.']
8	Calculatorul cu linux este defect .	Calculatoarele cu orar sunt defecte .	Calculatorul cu radioe este defect .	Calculatoarele cu programe sunt defecte .	Calculatorul cu ceasul experimentului este defect .	Calculatoarele cu cabluul experimentului sunt defecte .	Calculatorul cu firele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Calculatorul', 'cu linux', '', 'este defect', '.']	['Calculatoarele', 'cu orar', '', 'sunt defecte', '.']	['Calculatorul', 'cu radioe', '', 'este defect', '.']	['Calculatoarele', 'cu programe', '', 'sunt defecte', '.']	['Calculatorul', 'cu ceasul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu cabluul', 'experimentului', 'sunt defecte', '.']	['Calculatorul', 'cu firele', 'experimentului', 'este defect', '.']	Calculatoarele cu linuxele experimentului sunt defecte .	Calculatoarele cu linuxele experimentelor este defect .	Calculatoarele cu linuxele experimentului este defect .	Calculatoarele cu linuxele experimentului este defect .	Calculatoarele cu linuxul experimentului sunt defecte .	Calculatoarele cu linuxele experimentelor sunt defecte .	Calculatoarele cu linuxele și experimentele sunt defecte .	Calculatoarele cu linuxele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu linuxele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu linuxele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu linuxele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu linuxele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu linuxul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu linuxele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu linuxele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu linuxele', 'experimentului', 'studentilor', 'sunt defecte', '.']
9	Calculatorul cu ceas este defect .	Calculatoarele cu linux sunt defecte .	Calculatorul cu orare este defect .	Calculatoarele cu fire sunt defecte .	Calculatorul cu radioul experimentului este defect .	Calculatoarele cu cabluul experimentului sunt defecte .	Calculatorul cu șurubele experimentului este defect .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Calculatorul', 'cu ceas', '', 'este defect', '.']	['Calculatoarele', 'cu linux', '', 'sunt defecte', '.']	['Calculatorul', 'cu orare', '', 'este defect', '.']	['Calculatoarele', 'cu fire', '', 'sunt defecte', '.']	['Calculatorul', 'cu radioul', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu cabluul', 'experimentului', 'sunt defecte', '.']	['Calculatorul', 'cu șurubele', 'experimentului', 'este defect', '.']	Calculatoarele cu radioele experimentului sunt defecte .	Calculatoarele cu radioele experimentelor este defect .	Calculatoarele cu radioele experimentului este defect .	Calculatoarele cu radioele experimentului este defect .	Calculatoarele cu radioul experimentului sunt defecte .	Calculatoarele cu radioele experimentelor sunt defecte .	Calculatoarele cu radioele și experimentele sunt defecte .	Calculatoarele cu radioele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu radioele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu radioele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu radioele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu radioele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu radioul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu radioele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu radioele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu radioele', 'experimentului', 'studentilor', 'sunt defecte', '.']
