Prefix;np-s;np-p;pp1-s;pp1-p;conj1-s;conj1-p;pp2-s;pp2-p;conj2-s;conj2-p;pp3-s;pp3-p;conj3-s;conj3-p;roc-s;roc-p;vp-s;vp-p;.
John thinks that;The computer;The computers;with the program;with the programs;and the program;and the programs;of the experiment;of the experiments;and the experiment;and the experiments;of the student;of the students;and the student;and the students;that John used;that John used;is broken;are broken;.
The government announced that;The exhibition;The exhibitions;with the painting;with the paintings;and the painting;and the paintings;of the child;of the children;and the child;and the children;of the school;of the schools;and the school;and the schools;that the government didn’t report on;that the government didn’t report on;was very successful;were very successful;.
Mary says that;The box;The boxes;with the key;with the keys;and the key;and the keys;of the cell;of the cells;and the cell;and the cells;of the prisoner;of the prisoners;and the prisoner;and the prisoners;that Mary uses;that Mary uses;is on the shelf;are on the shelf;.
The editor realized that;The book;The books;on the privatization;and the privatizations;and the privatization;and the privatizations;of the company;of the companies;and the company;and the companies;in the city;in the cities;and the city;and the cities;of which the editor is proud;of which the editor is proud;excited the public;excited the public;.
The organizer informed me that;Th conference;The conferences;on the history;on the histories;and the history;and the histories;of the war;of the wars;and the war;and the wars;of secession;of secessions;and the secession;and the secessions;of which the organizer told me;of which the organizer told me;started later than planned;started later than planned;.
The author thought that;The study;The studies;on the effect;on the effects;and the effect;and the effects;of the drug;of the drugs;and the drug;and the drugs;in the region;in the regions;and the region;and the regions;that the author sponsored;that the author sponsored;will be published soon;will be published soon;.
The article reported that;The theory;The theories;on the song;on the songs;and the song;and the songs;of the canary;of the canaries;and the canary;and the canaries;in the mountain;in the mountains;and the mountain;and the mountains;which the article describes;which the article describes;divides the researchers;divide the researchers;.
My neighbor said that;The writing;The writings;on the door;on the doors;and the door;and the doors;of the room;of the rooms;and the room;and the rooms;of the girl;of the girls;and the girl;and the girls;that my neighbor likes;that my neighbor likes;angered her mother;angered her mother;.
The newspaper mentioned that;The leaflet;The leaflets;on the issue;on the issues;and the issue;and the issues;in the community;in the communities;and the community;and the communities;in the countryside;in the countrysides;and the countryside;and the countrysides;that the newspaper mentions;that the newspaper mentions;was of great interest;were of great interest;.
My cousin said that;The line;The lines;on the side;on the sides;and the side;and the sides;of the street;of the streets;and the street;and the streets;of the region;of the regions;and the region;and the regions;that my cousin remarked upon;that my cousin remarked upon;has disappeared;have disappeared;.
Julie realized that;The napkin;The napkins;on the table;on the tables;and the table;and the tables;of the banquet;of the banquets;and the banquet;and the banquets;of the grandmother;of the grandmothers;and the grandmother;and the grandmothers;that the mother cleaned often;that the mother cleaned often;shines in the sun;shine in the sun;.
The doctor noticed that;The description;The descriptions;of the suffering;of the sufferings;and the suffering;and the sufferings;in the hospital;in the hospitals;and the hospital;and the hospitals;of the department;of the departments;and the department;and the departments;that the doctor hears;that the doctor hears;touches the participants;touch the participants;.
My niece realized that;The visit;The visits;to the workshop;to the workshops;and the workshop;and the workshops;of the craftsman;of the craftsmen;and the craftsman;and the craftsmen;in the rural area;in the rural areas;and the rural area;and the rural areas;of which my niece told me;of which my niece told me;is approaching;are approaching;.
The president was told that;The threat;The threats;of the reform;of the reforms;and the reform;and the reforms;in the school;in the schools;and the school;and the schools;in the medical sector;in the medical sectors;and the medical sector;and the medical sectors;of which the president was told;of which the president was told;alarms the doctors;alarm the doctors;.
The police says that;The helicopter;The helicopters;for the flight;for the flights;and the flight;and the flights;above the canyon;above the canyons;and the canyon;and the canyons;in the natural reserve;in the natural reserves;and the natural reserve;and the natural reserves;that the police is searching for;that the police is searching for;has crashed;have crashed;.
My friend said that;The party;The parties;in the apartment;in the apartments;and the apartment;and the apartments;in the basement;in the basements;and the basement;and the basements;of my daughter;of my daughters;and my daughter;and my daughters;of which my friend informed me;of which my friend informed me;bothers the neighbors;bother the neighbors;.
The spectators agreed that;The producer;The producers;of the film;of the films;and the film;and the films;on the artist;on the artists;and the artist;and the artists;from the city center;from the city centers;and the city center;and the city centers;that the spectators admire;that the spectators admire;has won the award;have won the award;.
My children told me that;The cat;The cats;on the roof;on the roofs;and the roof;and the roofs;of the neighbor;of the neighbors;and the neighbor;and the neighbors;of my brother;of my brothers;and my brother;and my brothers;that my children dream about;that my children dream about;meows since yesterday evening;meow since yesterday evening;.
My parents mentioned that;The dog;The dogs;on the pillow;on the pillows;and the pillow;and the pillows;of the baby;of the babies;and the baby;and the babies;of my cousin;of my cousins;and my cousin;and my cousins;that my parents were observing;that my parents were observing;falls asleep;fall asleep;.
The colleagues have seen that;The striker;The strikers;on the balcony;on the balconies;and the balcony;and the balconies;of the boss;of the bosses;and the boss;and the bosses;of the company;of the companies;and the company;and the companies;that the colleagues were worried about;that the colleagues were worried about;blocks the door;block the door;.
The administrator realized that;The architect;The architects;of the castle;of the castles;and the castle;and the castles;of the millionaire;of the millionaires;and the millionaire ;and the millionaires;on the island;on the islands;and the island;and the islands;that the administrators know;that the administrators know;has lost the plans;have lost the plans;.
The journalists have reported that;The victim;The victims;of the lie;of the lies;and the lie;and the lies;of the policeman;of the policemen;and the policeman;and the policemen;from the police station;from the police stations;and the police station;and the police stations;to which the journalists testified;to which the journalists testified;has filed a complaint;have filed a complaint;.
The villagers have found that;The thief;The thieves;of the car;of the cars;and the car;and the cars;from the mechanic;from the mechanics;and the mechanic;and the mechanics;in the suburb;in the suburbs;and the suburb;and the suburbs;that the villagers recognized;that the villagers recognized;has crashed;have crashed;.
The students learned that;The manager;The managers;of the right;of the rights;and the right;and the rights;of the immigrant;of the immigrants;and the immigrant;and the immigrants;in the port;in the ports;and the port;and the ports;that the students know;that the students know;has resigned;have resigned;.
The children say that;The kid;The kids;of the man;of the men;and the man;and the men;near the station;near the stations;and the station;and the stations;of the train;of th etrains;and the train;and the trains;that the children like;that the children like;is crying;are crying;.
The prosecutors think that;The lawyer;The lawyers;of the thief;of the thieves;and the thief;and the thieves;from the village;from the villages;and the village;and the villages;close to the lake;close to the lakes;and the lake;and the lakes;that the prosecutors are listening to ;that the prosecutors are listening to;has returned;have returned;.
