	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
0	Calculatorul este defect .	Calculatorul cu program este defect .	Calculatorul cu programe este defect .	Calculatorul cu programul experimentului este defect .	Calculatorul cu programele experimentului este defect .	Calculatorul cu programul experimentelor este defect .	Calculatorul cu programele experimentelor este defect .	Calculatoarele sunt defecte .	Calculatoarele cu program sunt defecte .	Calculatoarele cu programe sunt defecte .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programul experimentelor sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatorul sunt defecte .	Calculatorul cu program sunt defecte .	Calculatorul cu programe sunt defecte .	Calculatorul cu programul experimentului sunt defecte .	Calculatorul cu programele experimentului sunt defecte .	Calculatorul cu programul experimentelor sunt defecte .	Calculatorul cu programele experimentelor sunt defecte .	Calculatoarele este defect .	Calculatoarele cu program este defect .	Calculatoarele cu programe este defect .	Calculatoarele cu programul experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentelor este defect .	Calculatoarele cu programele experimentelor este defect .
1	Expoziția a avut mare succes .	Expoziția cu pictură a avut mare succes .	Expoziția cu picturi a avut mare succes .	Expoziția cu pictura artistului a avut mare succes .	Expoziția cu picturile artistului a avut mare succes .	Expoziția cu pictura artiștilor a avut mare succes .	Expoziția cu picturile artiștilor a avut mare succes .	Expozițiile au avut mare succes .	Expozițiile cu pictură au avut mare succes .	Expozițiile cu picturi au avut mare succes .	Expozițiile cu pictura artistului au avut mare succes .	Expozițiile cu picturile artistului au avut mare succes .	Expozițiile cu pictura artiștilor au avut mare succes .	Expozițiile cu picturile artiștilor au avut mare succes .	Expoziția au avut mare succes .	Expoziția cu pictură au avut mare succes .	Expoziția cu picturi au avut mare succes .	Expoziția cu pictura artistului au avut mare succes .	Expoziția cu picturile artistului au avut mare succes .	Expoziția cu pictura artiștilor au avut mare succes .	Expoziția cu picturile artiștilor au avut mare succes .	Expozițiile a avut mare succes .	Expozițiile cu pictură a avut mare succes .	Expozițiile cu picturi a avut mare succes .	Expozițiile cu pictura artistului a avut mare succes .	Expozițiile cu picturile artistului a avut mare succes .	Expozițiile cu pictura artiștilor a avut mare succes .	Expozițiile cu picturile artiștilor a avut mare succes .
2	Brelocul este pe raft .	Brelocul cu cheie este pe raft .	Brelocul cu chei este pe raft .	Brelocul cu cheia dulapului este pe raft .	Brelocul cu cheile dulapului este pe raft .	Brelocul cu cheia dulapurilor este pe raft .	Brelocul cu cheile dulapurilor este pe raft .	Brelocurile sunt pe raft .	Brelocurile cu cheie sunt pe raft .	Brelocurile cu chei sunt pe raft .	Brelocurile cu cheia dulapului sunt pe raft .	Brelocurile cu cheile dulapului sunt pe raft .	Brelocurile cu cheia dulapurilor sunt pe raft .	Brelocurile cu cheile dulapurilor sunt pe raft .	Brelocul sunt pe raft .	Brelocul cu cheie sunt pe raft .	Brelocul cu chei sunt pe raft .	Brelocul cu cheia dulapului sunt pe raft .	Brelocul cu cheile dulapului sunt pe raft .	Brelocul cu cheia dulapurilor sunt pe raft .	Brelocul cu cheile dulapurilor sunt pe raft .	Brelocurile este pe raft .	Brelocurile cu cheie este pe raft .	Brelocurile cu chei este pe raft .	Brelocurile cu cheia dulapului este pe raft .	Brelocurile cu cheile dulapului este pe raft .	Brelocurile cu cheia dulapurilor este pe raft .	Brelocurile cu cheile dulapurilor este pe raft .
3	Cartea a entuziasmat publicul .	Cartea despre privatizare a entuziasmat publicul .	Cartea despre privatizări a entuziasmat publicul .	Cartea despre privatizarea companiei a entuziasmat publicul .	Cartea despre privatizările companiei a entuziasmat publicul .	Cartea despre privatizarea companiilor a entuziasmat publicul .	Cartea despre privatizările companiilor a entuziasmat publicul .	Carțile au entuziasmat publicul .	Carțile despre privatizare au entuziasmat publicul .	Carțile despre privatizări au entuziasmat publicul .	Carțile despre privatizarea companiei au entuziasmat publicul .	Carțile despre privatizările companiei au entuziasmat publicul .	Carțile despre privatizarea companiilor au entuziasmat publicul .	Carțile despre privatizările companiilor au entuziasmat publicul .	Cartea au entuziasmat publicul .	Cartea despre privatizare au entuziasmat publicul .	Cartea despre privatizări au entuziasmat publicul .	Cartea despre privatizarea companiei au entuziasmat publicul .	Cartea despre privatizările companiei au entuziasmat publicul .	Cartea despre privatizarea companiilor au entuziasmat publicul .	Cartea despre privatizările companiilor au entuziasmat publicul .	Carțile a entuziasmat publicul .	Carțile despre privatizare a entuziasmat publicul .	Carțile despre privatizări a entuziasmat publicul .	Carțile despre privatizarea companiei a entuziasmat publicul .	Carțile despre privatizările companiei a entuziasmat publicul .	Carțile despre privatizarea companiilor a entuziasmat publicul .	Carțile despre privatizările companiilor a entuziasmat publicul .
4	Conferința a început mai târziu decat era prevăzut .	Conferința despre istorie a început mai târziu decat era prevăzut .	Conferința despre istorii a început mai târziu decat era prevăzut .	Conferința despre istoria razboiului a început mai târziu decat era prevăzut .	Conferința despre istoriile razboiului a început mai târziu decat era prevăzut .	Conferința despre istoria razboaielor a început mai târziu decat era prevăzut .	Conferința despre istoriile razboaielor a început mai târziu decat era prevăzut .	Conferințele au inceput mai tarziu decat era prevazut .	Conferințele despre istorie au inceput mai tarziu decat era prevazut .	Conferințele despre istorii au inceput mai tarziu decat era prevazut .	Conferințele despre istoria razboiului au inceput mai tarziu decat era prevazut .	Conferințele despre istoriile razboiului au inceput mai tarziu decat era prevazut .	Conferințele despre istoria razboaielor au inceput mai tarziu decat era prevazut .	Conferințele despre istoriile razboaielor au inceput mai tarziu decat era prevazut .	Conferința au inceput mai tarziu decat era prevazut .	Conferința despre istorie au inceput mai tarziu decat era prevazut .	Conferința despre istorii au inceput mai tarziu decat era prevazut .	Conferința despre istoria razboiului au inceput mai tarziu decat era prevazut .	Conferința despre istoriile razboiului au inceput mai tarziu decat era prevazut .	Conferința despre istoria razboaielor au inceput mai tarziu decat era prevazut .	Conferința despre istoriile razboaielor au inceput mai tarziu decat era prevazut .	Conferințele a început mai târziu decat era prevăzut .	Conferințele despre istorie a început mai târziu decat era prevăzut .	Conferințele despre istorii a început mai târziu decat era prevăzut .	Conferințele despre istoria razboiului a început mai târziu decat era prevăzut .	Conferințele despre istoriile razboiului a început mai târziu decat era prevăzut .	Conferințele despre istoria razboaielor a început mai târziu decat era prevăzut .	Conferințele despre istoriile razboaielor a început mai târziu decat era prevăzut .
5	Studiul va apare curând .	Studiul asupra efectului va apare curând .	Studiul asupra efectelor va apare curând .	Studiul asupra efectului drogului va apare curând .	Studiul asupra efectelor drogului va apare curând .	Studiul asupra efectului drogurilor va apare curând .	Studiul asupra efectelor drogurilor va apare curând .	Studiile vor aparea curand .	Studiile asupra efectului vor aparea curand .	Studiile asupra efectelor vor aparea curand .	Studiile asupra efectului drogului vor aparea curand .	Studiile asupra efectelor drogului vor aparea curand .	Studiile asupra efectului drogurilor vor aparea curand .	Studiile asupra efectelor drogurilor vor aparea curand .	Studiul vor aparea curand .	Studiul asupra efectului vor aparea curand .	Studiul asupra efectelor vor aparea curand .	Studiul asupra efectului drogului vor aparea curand .	Studiul asupra efectelor drogului vor aparea curand .	Studiul asupra efectului drogurilor vor aparea curand .	Studiul asupra efectelor drogurilor vor aparea curand .	Studiile va apare curând .	Studiile asupra efectului va apare curând .	Studiile asupra efectelor va apare curând .	Studiile asupra efectului drogului va apare curând .	Studiile asupra efectelor drogului va apare curând .	Studiile asupra efectului drogurilor va apare curând .	Studiile asupra efectelor drogurilor va apare curând .
6	Teoria este respinsă de comisie .	Teoria despre cântec este respinsă de comisie .	Teoria despre cântece este respinsă de comisie .	Teoria despre cântecul pasarii este respinsă de comisie .	Teoria despre cântecele pasarii este respinsă de comisie .	Teoria despre cântecul pasarilor este respinsă de comisie .	Teoria despre cântecele pasarilor este respinsă de comisie .	Teoriile sunt respinse de comisie .	Teoriile despre cântec sunt respinse de comisie .	Teoriile despre cântece sunt respinse de comisie .	Teoriile despre cântecul pasarii sunt respinse de comisie .	Teoriile despre cântecele pasarii sunt respinse de comisie .	Teoriile despre cântecul pasarilor sunt respinse de comisie .	Teoriile despre cântecele pasarilor sunt respinse de comisie .	Teoria sunt respinse de comisie .	Teoria despre cântec sunt respinse de comisie .	Teoria despre cântece sunt respinse de comisie .	Teoria despre cântecul pasarii sunt respinse de comisie .	Teoria despre cântecele pasarii sunt respinse de comisie .	Teoria despre cântecul pasarilor sunt respinse de comisie .	Teoria despre cântecele pasarilor sunt respinse de comisie .	Teoriile este respinsă de comisie .	Teoriile despre cântec este respinsă de comisie .	Teoriile despre cântece este respinsă de comisie .	Teoriile despre cântecul pasarii este respinsă de comisie .	Teoriile despre cântecele pasarii este respinsă de comisie .	Teoriile despre cântecul pasarilor este respinsă de comisie .	Teoriile despre cântecele pasarilor este respinsă de comisie .
7	Inscripția a supărat-o pe mama ei .	Inscripția de pe ușă a supărat-o pe mama ei .	Inscripția de pe uși a supărat-o pe mama ei .	Inscripția de pe ușa camerei a supărat-o pe mama ei .	Inscripția de pe ușile camerei a supărat-o pe mama ei .	Inscripția de pe ușa camerelor a supărat-o pe mama ei .	Inscripția de pe ușile camerelor a supărat-o pe mama ei .	Inscripțiile au supărat-o pe mama ei .	Inscripțiile de pe ușă au supărat-o pe mama ei .	Inscripțiile de pe uși au supărat-o pe mama ei .	Inscripțiile de pe ușa camerei au supărat-o pe mama ei .	Inscripțiile de pe ușile camerei au supărat-o pe mama ei .	Inscripțiile de pe ușa camerelor au supărat-o pe mama ei .	Inscripțiile de pe ușile camerelor au supărat-o pe mama ei .	Inscripția au supărat-o pe mama ei .	Inscripția de pe ușă au supărat-o pe mama ei .	Inscripția de pe uși au supărat-o pe mama ei .	Inscripția de pe ușa camerei au supărat-o pe mama ei .	Inscripția de pe ușile camerei au supărat-o pe mama ei .	Inscripția de pe ușa camerelor au supărat-o pe mama ei .	Inscripția de pe ușile camerelor au supărat-o pe mama ei .	Inscripțiile a supărat-o pe mama ei .	Inscripțiile de pe ușă a supărat-o pe mama ei .	Inscripțiile de pe uși a supărat-o pe mama ei .	Inscripțiile de pe ușa camerei a supărat-o pe mama ei .	Inscripțiile de pe ușile camerei a supărat-o pe mama ei .	Inscripțiile de pe ușa camerelor a supărat-o pe mama ei .	Inscripțiile de pe ușile camerelor a supărat-o pe mama ei .
8	Broșura a fost de mare interes .	Broșura despre problemă a fost de mare interes .	Broșura despre probleme a fost de mare interes .	Broșura despre problema comunitatii a fost de mare interes .	Broșura despre problemele comunitatii a fost de mare interes .	Broșura despre problema comunitatilor a fost de mare interes .	Broșura despre problemele comunitatilor a fost de mare interes .	Broșurile au fost de mare interes .	Broșurile despre problemă au fost de mare interes .	Broșurile despre probleme au fost de mare interes .	Broșurile despre problema comunitatii au fost de mare interes .	Broșurile despre problemele comunitatii au fost de mare interes .	Broșurile despre problema comunitatilor au fost de mare interes .	Broșurile despre problemele comunitatilor au fost de mare interes .	Broșura au fost de mare interes .	Broșura despre problemă au fost de mare interes .	Broșura despre probleme au fost de mare interes .	Broșura despre problema comunitatii au fost de mare interes .	Broșura despre problemele comunitatii au fost de mare interes .	Broșura despre problema comunitatilor au fost de mare interes .	Broșura despre problemele comunitatilor au fost de mare interes .	Broșurile a fost de mare interes .	Broșurile despre problemă a fost de mare interes .	Broșurile despre probleme a fost de mare interes .	Broșurile despre problema comunitatii a fost de mare interes .	Broșurile despre problemele comunitatii a fost de mare interes .	Broșurile despre problema comunitatilor a fost de mare interes .	Broșurile despre problemele comunitatilor a fost de mare interes .
9	Indicatorul a dispărut .	Indicatorul de la margine a dispărut .	Indicatorul de la margini a dispărut .	Indicatorul de la marginea drumului a dispărut .	Indicatorul de la marginile drumului a dispărut .	Indicatorul de la marginea drumurilor a dispărut .	Indicatorul de la marginile drumurilor a dispărut .	Indicatoarele au dispărut .	Indicatoarele de la margine au dispărut .	Indicatoarele de la margini au dispărut .	Indicatoarele de la marginea drumului au dispărut .	Indicatoarele de la marginile drumului au dispărut .	Indicatoarele de la marginea drumurilor au dispărut .	Indicatoarele de la marginile drumurilor au dispărut .	Indicatorul au dispărut .	Indicatorul de la margine au dispărut .	Indicatorul de la margini au dispărut .	Indicatorul de la marginea drumului au dispărut .	Indicatorul de la marginile drumului au dispărut .	Indicatorul de la marginea drumurilor au dispărut .	Indicatorul de la marginile drumurilor au dispărut .	Indicatoarele a dispărut .	Indicatoarele de la margine a dispărut .	Indicatoarele de la margini a dispărut .	Indicatoarele de la marginea drumului a dispărut .	Indicatoarele de la marginile drumului a dispărut .	Indicatoarele de la marginea drumurilor a dispărut .	Indicatoarele de la marginile drumurilor a dispărut .
