ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_template_9
0	We like to baste different types of marinades over the meat.	Different types of marinades were basted by us.	Different types of marinades were basted over the meat by us.	Different types of marinades were basted over the meat.	The meat was basted by us.	The meat was basted with different types of marinades by us.	The meat was basted with different types of marinades.	We like to baste the meat with different types of marinades.	We were basted the meat with different types of marinades.	We like to baste the meat different types of marinades.	We like to baste over the meat with different types of marinades.	We like to baste the meat of seafood.	We like to baste the meat under different types of marinades.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
1	I brushed it onto yellow plastic cups.	It was brushed by me.	It was brushed onto yellow plastic cups by me.	It was brushed onto yellow plastic cups.	Yellow plastic cups was brushed by me.	Yellow plastic cups was brushed with it by me.	Yellow plastic cups was brushed with it.	I brushed yellow plastic cups with it.	I was brushed yellow plastic cups with it.	I brushed yellow plastic cups it.	I brushed onto yellow plastic cups with it.	I brushed yellow plastic cups with ease.	I brushed yellow plastic cups under it.	Yellow plastic cups brushed me with it.	It brushed me onto yellow plastic cups.	Yellow plastic cups brushed it me.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
2	Drizzle Torani caramel sauce over your cup.	Torani caramel sauce was drizzled by you.	Torani caramel sauce was drizzled over your cup by you.	Torani caramel sauce was drizzled over your cup.	Your cup was drizzled by you.	Your cup was drizzled with the Torani caramel sauce by you.	Your cup was drizzled with the Torani caramel sauce.	Drizzle your cup with the Torani caramel sauce.	Someone was drizzled your cup with the Torani caramel sauce.	Drizzle your cup Torani caramel sauce.	Drizzle over your cup with the Torani caramel sauce.	Drizzle your cup from Argentina.	Drizzle your cup under Torani caramel sauce.	Your cup drizzle someone with the Torani caramel sauce.	Torani caramel sauce drizzle someone over your cup.	Your cup drizzle Torani caramel sauce someone.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
3	I will hang it on my wall.	It was hung by me.	It was hung on my wall by me.	It was hung on my wall.	My wall was hung by me.	My wall was hung with it by me.	My wall was hung with it.	I will hang my wall with it.	I was hung my wall with it.	I will hang my wall it.	I will hang on my wall with it.	I will hang my wall with ease.	I will hang my wall under it.	My wall will hang me with it.	It will hang me on my wall.	My wall will hang it me.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
4	I can can load clothes in the box.	Clothes were loaded by me.	Clothes were loaded in the box by me.	Clothes were loaded in the box.	The box was loaded by me.	The box was loaded with clothes by me.	The box was loaded with clothes.	I can can load the box with clothes.	I was loaded the box with clothes.	I can can load the box clothes.	I can can load in the box with clothes.	I can can load the box for the wedding.	I can can load the box under clothes.	The box can load me with clothes.	Clothes can load me in the box.	The box can load clothes me.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
5	The record company plastered a big label on the album cover.	A big label was plastered by the record company.	A big label was plastered on the album cover by the record company.	A big label was plastered on the album cover.	The album cover was plastered by the record company.	The album cover was plastered with a big label by the record company.	The album cover was plastered with a big label.	The record company plastered the album cover with a big label.	The record company was plastered the album cover with a big label.	The record company plastered the album cover a big label.	The record company plastered on the album cover with a big label.	The record company plastered the album cover of the music industry.	The record company plastered the album cover under a big label.	The album cover plastered the record company with a big label.	A big label plastered the record company on the album cover.	The album cover plastered a big label the record company.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
6	I pumped regular air into the tire.	Regular air was pumped by me.	Regular air was pumped into the tire by me.	Regular air was pumped into the tire.	The tire back up was pumped by me.	The tire back up was pumped with regular air by me.	The tire back up was pumped with regular air.	I pumped the tire back up with regular air.	I was pumped the tire back up with regular air.	I pumped the tire back up regular air.	I pumped into the tire with regular air.	I pumped the tire back up with nitrogen.	I pumped the tire back up under regular air.	The tire back up pumped me with regular air.	Regular air pumped me into the tire.	The tire back up pumped regular air me.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
7	You simply rub the eraser on the writing marks.	The eraser was rubbed by you.	The eraser was rubbed on the writing marks by you.	The eraser was rubbed on the writing marks.	The writing marks were rubbed by you.	The writing marks were rubbed with the eraser by you.	The writing marks were rubbed with the eraser.	You simply rub the writing marks with the eraser.	You were rubbed the writing marks with the eraser.	You simply rub the writing marks the eraser.	You simply rub on the writing marks with the eraser.	You simply rub the writing marks of her pencil.	You simply rub the writing marks under the eraser.	The writing marks rub you with the eraser.	The eraser rub you on the writing marks.	The writing marks rub the eraser you.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
8	An evil creature called Gnasty Gnorc scatters gems all over the dragon world.	Gems were scattered by an evil creature called Gnasty Gnorc.	Gems were scattered all over the dragon world by an evil creature called Gnasty Gnorc.	Gems were scattered all over the dragon world.	The dragon world was scattered by an evil creature called Gnasty Gnorc.	The dragon world was scattered with gems by an evil creature called Gnasty Gnorc.	The dragon world was scattered with gems.	An evil creature called Gnasty Gnorc scatters the dragon world with gems.	An evil creature called Gnasty Gnorc was scattered the dragon world with gems.	An evil creature called Gnasty Gnorc scatters the dragon world gems.	An evil creature called Gnasty Gnorc scatters all over the dragon world with gems.	An evil creature called Gnasty Gnorc scatters the dragon world of the seas.	An evil creature called Gnasty Gnorc scatters the dragon world under gems.	The dragon world scatters an evil creature called Gnasty Gnorc with gems.	Gems scatters an evil creature called Gnasty Gnorc all over the dragon world.	The dragon world scatters gems an evil creature called Gnasty Gnorc.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
9	Lewitt and Dubner promote a strategy to seed sulfur into the atmosphere.	Sulfur was seeded by Lewitt and Dubner.	Sulfur was seeded into the atmosphere by Lewitt and Dubner.	Sulfur was seeded into the atmosphere.	The atmosphere was seeded by Lewitt and Dubner.	The atmosphere was seeded with sulfur by Lewitt and Dubner.	The atmosphere was seeded with sulfur.	Lewitt and Dubner promote a strategy to seed the atmosphere with sulfur.	Lewitt and Dubner were seeded the atmosphere with sulfur.	Lewitt and Dubner promote a strategy to seed the atmosphere sulfur.	Lewitt and Dubner promote a strategy to seed into the atmosphere with sulfur.	Lewitt and Dubner promote a strategy to seed the atmosphere of volcanic origin.	Lewitt and Dubner promote a strategy to seed the atmosphere under sulfur.	The atmosphere seed Lewitt and Dubner with sulfur.	Sulfur seed Lewitt and Dubner into the atmosphere.	The atmosphere seed sulfur Lewitt and Dubner.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounA1 PNounB1	SubjPass1 VerbPass NounA1 PNounB1	subj1 verb NounA1 NounB1	subj1 verb PNounA1 PNounB1	subj1 verb NounA1 EmbPP1	subj1 verb NounA1 WrPrep NounB1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb NounB1 WrongPLS1 SubjAcc1
