ID,Sent_1,Sent_2,Sent_3,Sent_4,Sent_5,Sent_6,Sent_7,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Answer_value_1,Answer_value_2,Answer_value_3,Answer_value_4,Answer_value_5,Answer_value_6,Answer_label_1,Answer_label_2,Answer_label_3,Answer_label_4,Answer_label_5,Answer_label_6
0,Jean suppose que l'ordinateur avec le programme est en panne .,Jean suppose que les ordinateurs avec le programme sont en panne .,Jean suppose que l'ordinateur avec les programmes est en panne .,Jean suppose que les ordinateurs avec les programmes sont en panne .,Jean suppose que l'ordinateur avec le programme de l'expérience est en panne .,Jean suppose que les ordinateurs avec le programme de l'expérience sont en panne .,Jean suppose que l'ordinateur avec les programmes de l'expérience est en panne .,Jean suppose que les ordinateurs avec les programmes de l'expérience est en panne .,Jean suppose que les ordinateurs avec le programme de l'expérience sont en panne .,Jean suppose que les ordinateurs avec les programmes et l'expérience sont en panne .,Jean suppose que les ordinateurs avec les programmes de l'expérience de l'expérience sont en panne .,Jean suppose que l'ordinateur avec les programmes de l'expérience sont en panne .,Jean suppose que les ordinateurs avec les programmes de l'expérience sont en panne .,False,False,False,False,False,True,agreement_error,N2_alter,coordination,mis_num,N1_alter,True
1,Le gouvernement a affirmé que l'exposition avec la peinture a rencontré un grand succès .,Le gouvernement a affirmé que les expositions avec la peinture ont rencontré un grand succès .,Le gouvernement a affirmé que l'exposition avec les peintures a rencontré un grand succès .,Le gouvernement a affirmé que les expositions avec les peintures ont rencontré un grand succès .,Le gouvernement a affirmé que l'exposition avec la peinture de l'enfant a rencontré un grand succès .,Le gouvernement a affirmé que les expositions avec la peinture de l'enfant ont rencontré un grand succès .,Le gouvernement a affirmé que l'exposition avec les peintures de l'enfant a rencontré un grand succès .,Le gouvernement a affirmé que les expositions avec la peinture de l'enfant ont rencontré un grand succès .,Le gouvernement a affirmé que les expositions avec les peintures de l'enfant a rencontré un grand succès .,Le gouvernement a affirmé que les expositions avec les peintures et l'enfant ont rencontré un grand succès .,Le gouvernement a affirmé que l'exposition avec les peintures de l'enfant ont rencontré un grand succès .,Le gouvernement a affirmé que les expositions avec les peintures de l'enfant ont rencontré un grand succès .,Le gouvernement a affirmé que les expositions avec les peintures de l'enfant de l'enfant ont rencontré un grand succès .,False,False,False,False,True,False,N2_alter,agreement_error,coordination,N1_alter,True,mis_num
2,Marie dit que le trousseau avec la clé repose sur l’étagère .,Marie dit que les trousseaux avec la clé reposent sur l’étagère .,Marie dit que le trousseau avec les clés repose sur l’étagère .,Marie dit que les trousseaux avec les clés reposent sur l’étagère .,Marie dit que le trousseau avec la clé de la cellule repose sur l’étagère .,Marie dit que les trousseaux avec la clé de la cellule reposent sur l’étagère .,Marie dit que le trousseau avec les clés de la cellule repose sur l’étagère .,Marie dit que les trousseaux avec les clés de la cellule repose sur l’étagère .,Marie dit que les trousseaux avec les clés de la cellule de la cellule reposent sur l’étagère .,Marie dit que le trousseau avec les clés de la cellule reposent sur l’étagère .,Marie dit que les trousseaux avec la clé de la cellule reposent sur l’étagère .,Marie dit que les trousseaux avec les clés et la cellule reposent sur l’étagère .,Marie dit que les trousseaux avec les clés de la cellule reposent sur l’étagère .,False,False,False,False,False,True,agreement_error,mis_num,N1_alter,N2_alter,coordination,True
3,L'éditeur a trouvé que le livre sur la privatisation a enthousiasmé l’auditoire .,L'éditeur a trouvé que les livres sur la privatisation ont enthousiasmé l’auditoire .,L'éditeur a trouvé que le livre sur les privatisations a enthousiasmé l’auditoire .,L'éditeur a trouvé que les livres sur les privatisations ont enthousiasmé l’auditoire .,L'éditeur a trouvé que le livre sur la privatisation de l'entreprise a enthousiasmé l’auditoire .,L'éditeur a trouvé que les livres sur la privatisation de l'entreprise ont enthousiasmé l’auditoire .,L'éditeur a trouvé que le livre sur les privatisations de l'entreprise a enthousiasmé l’auditoire .,L'éditeur a trouvé que les livres sur la privatisation de l'entreprise ont enthousiasmé l’auditoire .,L'éditeur a trouvé que le livre sur les privatisations de l'entreprise ont enthousiasmé l’auditoire .,L'éditeur a trouvé que les livres sur les privatisations et l'entreprise ont enthousiasmé l’auditoire .,L'éditeur a trouvé que les livres sur les privatisations de l'entreprise ont enthousiasmé l’auditoire .,L'éditeur a trouvé que les livres sur les privatisations de l'entreprise de l'entreprise ont enthousiasmé l’auditoire .,L'éditeur a trouvé que les livres sur les privatisations de l'entreprise a enthousiasmé l’auditoire .,False,False,False,True,False,False,N2_alter,N1_alter,coordination,True,mis_num,agreement_error
4,L'organizateur m'a informé que la conférence sur l'histoire a commencé plus tard que prévu .,L'organizateur m'a informé que les conférences sur l'histoire ont commencé plus tard que prévu .,L'organizateur m'a informé que la conférence sur les histoires a commencé plus tard que prévu .,L'organizateur m'a informé que les conférences sur les histoires ont commencé plus tard que prévu .,L'organizateur m'a informé que la conférence sur l'histoire de la guerre a commencé plus tard que prévu .,L'organizateur m'a informé que les conférences sur l'histoire de la guerre ont commencé plus tard que prévu .,L'organizateur m'a informé que la conférence sur les histoires de la guerre a commencé plus tard que prévu .,L'organizateur m'a informé que les conférences sur les histoires de la guerre ont commencé plus tard que prévu .,L'organizateur m'a informé que les conférences sur les histoires de la guerre de la guerre ont commencé plus tard que prévu .,L'organizateur m'a informé que la conférence sur les histoires de la guerre ont commencé plus tard que prévu .,L'organizateur m'a informé que les conférences sur les histoires et la guerre ont commencé plus tard que prévu .,L'organizateur m'a informé que les conférences sur l'histoire de la guerre ont commencé plus tard que prévu .,L'organizateur m'a informé que les conférences sur les histoires de la guerre a commencé plus tard que prévu .,True,False,False,False,False,False,True,mis_num,N1_alter,coordination,N2_alter,agreement_error
5,L'auteur croit que l'étude sur l'effet apparaîtra bientôt .,L'auteur croit que les études sur l'effet apparaîtront bientôt .,L'auteur croit que l'étude sur les effet apparaîtra bientôt .,L'auteur croit que les études sur les effet apparaîtront bientôt .,L'auteur croit que l'étude sur l'effet de la drogue apparaîtra bientôt .,L'auteur croit que les études sur l'effet de la drogue apparaîtront bientôt .,L'auteur croit que l'étude sur les effet de la drogue apparaîtra bientôt .,L'auteur croit que l'étude sur les effet de la drogue apparaîtront bientôt .,L'auteur croit que les études sur l'effet de la drogue apparaîtront bientôt .,L'auteur croit que les études sur les effet de la drogue de la drogue apparaîtront bientôt .,L'auteur croit que les études sur les effet de la drogue apparaîtra bientôt .,L'auteur croit que les études sur les effet et la drogue apparaîtront bientôt .,L'auteur croit que les études sur les effet de la drogue apparaîtront bientôt .,False,False,False,False,False,True,N1_alter,N2_alter,mis_num,agreement_error,coordination,True
6,L'article a rapporté que la théorie sur le chant divise les chercheurs .,L'article a rapporté que les théories sur le chant divisent les chercheurs .,L'article a rapporté que la théorie sur les chants divise les chercheurs .,L'article a rapporté que les théories sur les chants divisent les chercheurs .,L'article a rapporté que la théorie sur le chant du canari divise les chercheurs .,L'article a rapporté que les théories sur le chant du canari divisent les chercheurs .,L'article a rapporté que la théorie sur les chants du canari divise les chercheurs .,L'article a rapporté que les théories sur les chants du canari du canari divisent les chercheurs .,L'article a rapporté que les théories sur les chants du canari divise les chercheurs .,L'article a rapporté que les théories sur les chants du canari divisent les chercheurs .,L'article a rapporté que la théorie sur les chants du canari divisent les chercheurs .,L'article a rapporté que les théories sur le chant du canari divisent les chercheurs .,L'article a rapporté que les théories sur les chants et le canari divisent les chercheurs .,False,False,True,False,False,False,mis_num,agreement_error,True,N1_alter,N2_alter,coordination
7,Ma voisine a raconté que l'inscription sur la porte a énervé sa mère .,Ma voisine a raconté que les inscriptions sur la porte ont énervé sa mère .,Ma voisine a raconté que l'inscription sur les portes a énervé sa mère .,Ma voisine a raconté que les inscriptions sur les portes ont énervé sa mère .,Ma voisine a raconté que l'inscription sur la porte de la chambre a énervé sa mère .,Ma voisine a raconté que les inscriptions sur la porte de la chambre ont énervé sa mère .,Ma voisine a raconté que l'inscription sur les portes de la chambre a énervé sa mère .,Ma voisine a raconté que les inscriptions sur les portes de la chambre de la chambre ont énervé sa mère .,Ma voisine a raconté que les inscriptions sur la porte de la chambre ont énervé sa mère .,Ma voisine a raconté que les inscriptions sur les portes et la chambre ont énervé sa mère .,Ma voisine a raconté que les inscriptions sur les portes de la chambre a énervé sa mère .,Ma voisine a raconté que les inscriptions sur les portes de la chambre ont énervé sa mère .,Ma voisine a raconté que l'inscription sur les portes de la chambre ont énervé sa mère .,False,False,False,False,True,False,mis_num,N2_alter,coordination,agreement_error,True,N1_alter
8,Le journal a mentionné que le dépliant sur l'enjeu a beaucoup intéressé .,Le journal a mentionné que les dépliants sur l'enjeu ont beaucoup intéressé .,Le journal a mentionné que le dépliant sur les enjeux a beaucoup intéressé .,Le journal a mentionné que les dépliants sur les enjeux ont beaucoup intéressé .,Le journal a mentionné que le dépliant sur l'enjeu de la communauté a beaucoup intéressé .,Le journal a mentionné que les dépliants sur l'enjeu de la communauté ont beaucoup intéressé .,Le journal a mentionné que le dépliant sur les enjeux de la communauté a beaucoup intéressé .,Le journal a mentionné que les dépliants sur les enjeux et la communauté ont beaucoup intéressé .,Le journal a mentionné que les dépliants sur les enjeux de la communauté a beaucoup intéressé .,Le journal a mentionné que les dépliants sur les enjeux de la communauté de la communauté ont beaucoup intéressé .,Le journal a mentionné que le dépliant sur les enjeux de la communauté ont beaucoup intéressé .,Le journal a mentionné que les dépliants sur les enjeux de la communauté ont beaucoup intéressé .,Le journal a mentionné que les dépliants sur l'enjeu de la communauté ont beaucoup intéressé .,False,False,False,False,True,False,coordination,agreement_error,mis_num,N1_alter,True,N2_alter
9,Ma cousine m'a dit que la ligne sur le bord a disparu .,Ma cousine m'a dit que les lignes sur le bord ont disparu .,Ma cousine m'a dit que la ligne sur les bords a disparu .,Ma cousine m'a dit que les lignes sur les bords ont disparu .,Ma cousine m'a dit que la ligne sur le bord de la route a disparu .,Ma cousine m'a dit que les lignes sur le bord de la route ont disparu .,Ma cousine m'a dit que la ligne sur les bords de la route a disparu .,Ma cousine m'a dit que les lignes sur le bord de la route ont disparu .,Ma cousine m'a dit que les lignes sur les bords et la route ont disparu .,Ma cousine m'a dit que la ligne sur les bords de la route ont disparu .,Ma cousine m'a dit que les lignes sur les bords de la route de la route ont disparu .,Ma cousine m'a dit que les lignes sur les bords de la route a disparu .,Ma cousine m'a dit que les lignes sur les bords de la route ont disparu .,False,False,False,False,False,True,N2_alter,coordination,N1_alter,mis_num,agreement_error,True
