ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
0	The monks baste different types of marinades over them.	The sauce was basted by the monks.	Wine was basted over them by locals.	Wine was basted over the vegetables.	The vegetables were basted by us.	The vegetables were basted with wine by locals.	Potatoes were basted with the sauce.	The farmers like to baste potatoes with wine.	People were basted it with butter.	We like to baste the meat different types of marinades.	The farmers like to baste over it with wine.	People baste it of beans.	We like to baste potatoes under the sauce.	Them baste the farmers with the vinegar.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB1 PNounA3	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass3 VerbPass PNounA1
1	People baste the sauce over it.	Different types of marinades were basted by us.	The sauce was basted over the vegetables by the monks.	Different types of marinades were basted over it.	They were basted by the farmers.	The vegetables were basted with different types of marinades by us.	The vegetables were basted with the sauce.	People baste it with the sauce.	The farmers were basted them with the vinegar.	Locals baste them butter.	The farmers like to baste over them with the vinegar.	The monks baste the vegetables of seafood.	The farmers like to baste potatoes under butter.	The vegetables baste the farmers with the vinegar.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB1 PNounA2	NounBPass3 VerbPass PSubj3	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass1 VerbPass PNounA1
2	We like to baste the sauce over it.	Different types of marinades were basted by us.	The cheese was basted over them by the farmers.	Wine was basted over the meat.	Potatoes were basted by the monks.	The vegetables were basted with the vinegar by the farmers.	The vegetables were basted with butter.	The farmers like to baste them with wine.	We were basted them with different types of marinades.	The farmers like to baste them butter.	The farmers like to baste over the meat with wine.	The monks baste them from France.	The farmers like to baste the meat under vinegar.	The vegetables baste people with butter.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB4 PNounA4	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA3 PSubj2	NounBPass5 VerbPass PNounA4
3	We like to baste different types of marinades over it.	The sauce was basted by the monks.	Different types of marinades were basted over it by us.	Butter was basted over the meat.	Potatoes were basted by people.	Potatoes were basted with wine by locals.	The vegetables were basted with the sauce.	The farmers like to baste potatoes with the sauce.	Locals were basted the vegetables with wine.	People baste it butter.	We like to baste over them with different types of marinades.	The farmers like to baste the vegetables of seafood.	We like to baste the vegetables under butter.	The vegetables baste locals with wine.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB5 PNounA1	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA4 PSubj1	NounBPass5 VerbPass PNounA1
4	The monks baste different types of marinades over them.	The sauce was basted by the monks.	Different types of marinades were basted over them by us.	Butter was basted over the vegetables.	They were basted by locals.	Potatoes were basted with the sauce by the monks.	The vegetables were basted with butter.	The monks baste them with butter.	People were basted potatoes with butter.	We like to baste the vegetables butter.	Locals baste over them with wine.	We like to baste the meat from Italy.	We like to baste the vegetables under vinegar.	The meat baste locals with wine.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB4 PNounA3	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA2 PSubj5	NounBPass4 VerbPass PNounA3
5	The monks baste butter over them.	Different types of marinades were basted by us.	Different types of marinades were basted over them by us.	The sauce was basted over them.	The meat was basted by the monks.	The meat was basted with butter by people.	The vegetables were basted with butter.	The monks baste potatoes with the vinegar.	Locals were basted it with wine.	The farmers like to baste the meat vinegar.	The monks baste over the meat with wine.	We like to baste potatoes of seafood.	The monks baste the meat under wine.	The meat baste locals with wine.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB3 PNounA1	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA5
6	People baste the sauce over the meat.	The cheese was basted by the farmers.	Different types of marinades were basted over them by us.	Wine was basted over it.	Potatoes were basted by the farmers.	It was basted with different types of marinades by us.	It was basted with wine.	The monks baste the vegetables with wine.	The monks were basted the meat with the sauce.	People baste it wine.	The monks baste over the meat with different types of marinades.	The farmers like to baste the meat from Italy.	People baste it under butter.	The meat baste people with butter.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB5 PNounA2	NounBPass2 VerbPass PSubj2	NounBPass1 VerbPass PNounA4 PSubj1	NounBPass3 VerbPass PNounA4
7	We like to baste vinegar over the vegetables.	The cheese was basted by the farmers.	Wine was basted over it by locals.	Different types of marinades were basted over the meat.	The meat was basted by the farmers.	Potatoes were basted with wine by locals.	The meat was basted with the sauce.	People baste potatoes with butter.	The monks were basted it with the sauce.	The farmers like to baste it butter.	The farmers like to baste over it with butter.	People baste it of seafood.	Locals baste potatoes under the sauce.	The meat baste locals with wine.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB5 PNounA5	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA2 PSubj2	NounBPass5 VerbPass PNounA3
8	People baste different types of marinades over it.	The cheese was basted by the farmers.	The cheese was basted over the vegetables by the farmers.	Butter was basted over potatoes.	They were basted by locals.	Potatoes were basted with different types of marinades by us.	It was basted with different types of marinades.	The farmers like to baste potatoes with butter.	The monks were basted the meat with the sauce.	The monks baste it the sauce.	We like to baste over the meat with different types of marinades.	Locals baste it of tomatoes.	The farmers like to baste the vegetables under different types of marinades.	The meat baste us with different types of marinades.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB5 PNounA1	NounBPass4 VerbPass PSubj4	NounBPass2 VerbPass PNounA5 PSubj2	NounBPass4 VerbPass PNounA2
9	The farmers like to baste vinegar over them.	Butter was basted by people.	Butter was basted over the meat by people.	Wine was basted over it.	The vegetables were basted by us.	Potatoes were basted with wine by locals.	It was basted with wine.	Locals baste the meat with butter.	The farmers were basted potatoes with the vinegar.	Locals baste potatoes vinegar.	People baste over them with the vinegar.	People baste potatoes of beans.	Locals baste them under butter.	The vegetables baste the monks with the sauce.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB2 PNounA2	NounBPass2 VerbPass PSubj2	NounBPass3 VerbPass PNounA2 PSubj3	NounBPass3 VerbPass PNounA5
