ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7.1	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
52	The farmers like to baste potatoes with the vinegar.	The sauce was basted by the monks.	The cheese was basted over it by the farmers.	Butter was basted over potatoes.	They were basted by locals.	Potatoes were basted with the sauce by the monks.	It was basted with the sauce.	Locals baste different types of marinades over potatoes.	We were basted different types of marinades over them.	The monks baste vinegar them.	The farmers like to baste with different types of marinades over the vegetables.	The monks baste the sauce of tomatoes.	People baste butter under it.	The sauce baste the monks over the meat.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA2 PNounB5	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA2 PSubj2	NounBPass2 VerbPass PNounA5
87	We like to baste potatoes with different types of marinades.	The sauce was basted by the monks.	The sauce was basted over the vegetables by the monks.	Different types of marinades were basted over the meat.	Potatoes were basted by people.	The meat was basted with the vinegar by the farmers.	They were basted with wine.	We like to baste vinegar over it.	People were basted butter over them.	Locals baste the sauce potatoes.	Locals baste with butter over the vegetables.	The monks baste wine from France.	Locals baste wine under potatoes.	Butter baste people over the meat.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA4 PNounB2	NounBPass4 VerbPass PSubj4	NounBPass2 VerbPass PNounA2 PSubj2	NounBPass3 VerbPass PNounA5
12	We like to baste the meat with butter.	Different types of marinades were basted by us.	Different types of marinades were basted over potatoes by us.	Wine was basted over potatoes.	The meat was basted by us.	They were basted with the sauce by the monks.	It was basted with wine.	Locals baste wine over the vegetables.	People were basted butter over them.	The monks baste butter the vegetables.	Locals baste with butter over the vegetables.	People baste butter of beans.	Locals baste wine under potatoes.	The sauce baste the monks over it.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA4 PNounB2	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass4 VerbPass PNounA1
2	People baste it with wine.	Butter was basted by people.	The cheese was basted over them by the farmers.	Wine was basted over the meat.	Potatoes were basted by us.	The vegetables were basted with wine by locals.	The meat was basted with the vinegar.	Locals baste different types of marinades over them.	The monks were basted the sauce over it.	The farmers like to baste wine them.	People baste with the vinegar over them.	People baste wine from France.	People baste butter under the meat.	Wine baste locals over them.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA2 PNounB1	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA3 PSubj2	NounBPass1 VerbPass PNounA4
37	The monks baste the meat with wine.	Different types of marinades were basted by us.	Different types of marinades were basted over it by us.	Butter was basted over the meat.	It was basted by locals.	It was basted with the sauce by the monks.	The meat was basted with butter.	We like to baste butter over the vegetables.	Locals were basted wine over them.	The farmers like to baste vinegar the vegetables.	The monks baste with wine over them.	Locals baste wine from France.	We like to baste wine under the vegetables.	Vinegar baste the farmers over the vegetables.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA4 PNounB5	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass1 VerbPass PNounA3
61	The monks baste the vegetables with butter.	The cheese was basted by the farmers.	Butter was basted over potatoes by people.	The cheese was basted over the meat.	The vegetables were basted by the farmers.	It was basted with the sauce by the monks.	It was basted with the sauce.	People baste vinegar over it.	The monks were basted the sauce over the vegetables.	The monks baste wine potatoes.	People baste with the vinegar over them.	The monks baste wine from France.	The monks baste vinegar under the vegetables.	Different types of marinades baste us over the vegetables.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA1 PNounB4	NounBPass4 VerbPass PSubj4	NounBPass5 VerbPass PNounA5 PSubj5	NounBPass4 VerbPass PNounA2
16	The monks baste them with different types of marinades.	Wine was basted by locals.	The cheese was basted over it by the farmers.	The sauce was basted over it.	It was basted by the farmers.	The meat was basted with butter by people.	It was basted with the vinegar.	The monks baste butter over it.	The monks were basted the sauce over the vegetables.	The farmers like to baste butter them.	The monks baste with the vinegar over the meat.	The farmers like to baste wine from France.	People baste vinegar under them.	Different types of marinades baste us over potatoes.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA2 PNounB1	NounBPass5 VerbPass PSubj5	NounBPass5 VerbPass PNounA2 PSubj5	NounBPass1 VerbPass PNounA2
34	We like to baste it with different types of marinades.	The cheese was basted by the farmers.	Different types of marinades were basted over the vegetables by us.	The cheese was basted over the meat.	It was basted by the farmers.	They were basted with the sauce by the monks.	They were basted with butter.	The farmers like to baste different types of marinades over it.	The farmers were basted vinegar over them.	People baste the sauce them.	The farmers like to baste with the vinegar over them.	Locals baste different types of marinades of seafood.	People baste the sauce under potatoes.	Vinegar baste the farmers over them.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA5 PNounB2	NounBPass5 VerbPass PSubj5	NounBPass3 VerbPass PNounA1 PSubj3	NounBPass5 VerbPass PNounA1
19	The farmers like to baste potatoes with the vinegar.	The cheese was basted by the farmers.	The sauce was basted over the vegetables by the monks.	Wine was basted over them.	The meat was basted by people.	The vegetables were basted with different types of marinades by us.	They were basted with the sauce.	Locals baste the sauce over it.	We were basted different types of marinades over the vegetables.	Locals baste butter them.	Locals baste with the vinegar over them.	People baste the sauce of tomatoes.	The farmers like to baste the sauce under the vegetables.	Different types of marinades baste us over them.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA3 PNounB3	NounBPass3 VerbPass PSubj3	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass5 VerbPass PNounA4
71	People baste it with the vinegar.	The sauce was basted by the monks.	Wine was basted over it by locals.	Wine was basted over the vegetables.	They were basted by the monks.	The vegetables were basted with wine by locals.	Potatoes were basted with butter.	The farmers like to baste butter over them.	We were basted different types of marinades over potatoes.	Locals baste butter the meat.	The monks baste with the vinegar over them.	People baste different types of marinades of seafood.	Locals baste the sauce under potatoes.	Vinegar baste the farmers over potatoes.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA1 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA5 PSubj5	NounBPass5 VerbPass PNounA2
