Prefix	np-s	np-p	pp1-s	pp1-p	Conj1-s	Conj1-p	pp2-s	pp2-p	Conj2-s	Conj2-p	pp3-s	pp3-p	Conj3-s	Conj3-p	ROC-s	ROC-p	vp-s	vp-p	.
Gianni crede che	Il computer	I computer	col programma	coi programmi	e il programma	e i programmi	dell'esperimento	degli esperimenti	e l'esperimento	e gli esperimenti	sull' adulto	sugli adulti	e l’ adulto	e gli adulti	di cui Maria si serviva	di cui Maria si serviva	non funziona	non funzionano	.
Il governo ha affermato che	La mostra	Le mostre 	col disegno 	coi disegni 	e il disegno 	e i disegni 	del bambino	dei bambini	e il bambino	e i bambini	dell' asilo	degli asili	e l' asilo	e gli asili	su cui il governo non ha fatto rapporto	su cui il governo non ha fatto rapporto	ha avuto molto successo	hanno avuto molto successo	.
Maria dice che	Il mazzo 	I mazzi	con la chiave	con le chiavi	e la chiave	e le chiavi	della cella	delle celle	e la cella	e le celle	del prigioniero	dei prigionieri	e il prigioniero	e i prigionieri	di cui si serve Gianni	di cui si serve Gianni	si trova sullo scaffale	si trovano sullo scaffale	.
L’ editore ha trovato che	Il libro 	I libri 	sulla privatizzazione	sulle privatizzazioni	e la privatizzazione	e le privatizzazioni	della ditta	delle ditte	e la ditta	e le ditte	della città	delle città	e la città	e le città	di cui l' editore è fiero	di cui l' editore è fiero	ha entusiasmato la sala	hanno entusiasmato la sala	.
L’ organizzatore mi ha informato che	La conferenza 	Le conferenze 	sulla storia 	sulle storie 	e la storia 	e le storie 	della guerra	delle guerre	e la guerra	e le guerre	della successione	delle successioni	e la successione	et le successioni	di cui ha parlato l' organizzatore	di cui ha parlato l' organizzatore	 è cominciata più tardi del previsto	sono cominciate più tardi del previsto	.
L’ autrice crede che	Lo studio 	Gli studi 	sull'effetto	sugli effetti	e l' effetto	e gli effetti	della droga	delle droghe	e la droga	e le droghe	della regione	delle regioni	e la regione	e le regioni	che l' autore finanzia	che l' autore finanzia	apparirà presto	appariranno presto	.
L’ articolo ha riportato che	La teoria 	Le teorie 	sul canto	sui canti	e il canto	e i canti	del canarino	dei canarini	e il canarino	e i canarini	della montagna	delle montagne	e la montagna	e le montagne	di cui parla l' articolo	di cui parla l' articolo	divide i ricercatori	dividono i riercatori	.
Il giornale ha menzionato che 	La scritta 	Le scritte 	sulla porta  	sulle porte  	e la porta  	e le porte  	della camera	delle camere	e  la camera	e le camere	della ragazza	delle ragazze	e la ragazza	e le ragazze	che piacevano alla mia vicina	che piacevano alla mia vicina	ha irritato sua mamma	hanno irritato sua mamma	.
La mia vicina mi ha raccontato che	Il depliant 	I depliant	sul tema 	sui temi 	e il tema 	e i temi	della comunità	delle comunità	e la comunità	e le comunità	della campagna 	delle campagne 	e la campagna    	e le campagne	di cui parlava il giornale	di cui parlava il giornale	ha molto interessato	hanno molto interessato	.
Mia cugina mi ha detto che	La riga 	Le righe 	al bordo 	ai bordi	e il bordo	e i bordi	della strada	delle strade	e la strada	e les strade	della regione	delle regioni	e la regione	e le regioni	che ha notato mia cugina	che ha notato mia cugina	scomparve	scomparvero	.
