ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_template_9
92	Drizzle your cup with the sugar.	The sugar was drizzled by the cooks.	The sugar was drizzled over your cup by the cooks.	The sugar was drizzled over your cup.	Your cup was drizzled by the cooks.	Your cup was drizzled with the sugar by the cooks.	Your cup was drizzled with the sugar.	Drizzle the sugar over your cup.	The cooks are drizzled the sugar over your cup.	Drizzle the sugar your cup.	Drizzle with the sugar over your cup.	Drizzle the sugar of honey.	Drizzle the sugar under your cup.	The sugar drizzle the cooks over your cup.	Your cup drizzle the cooks with the sugar.	The sugar drizzle your cup the cooks.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB4	NounBPass4 VerbPass PSubj4	NounBPass4 VerbPass PNounA1 PSubj4	NounBPass4 VerbPass PNounA1	NounAPass1 VerbPass PSubj4	NounAPass1 VerbPass PNounB4 PSubj4	NounAPass1 VerbPass PNounB4	subj1 verb NounB4 PNounA1	SubjPass4 VerbPass NounB4 PNounA1	subj1 verb NounB4 NounA1	subj1 verb PNounB4 PNounA1	subj1 verb NounB4 EmbPP4	subj1 verb NounB4 WrPrep NounA1	NounB4 verb SubjAcc4 PNounA1	NounA1 verb SubjAcc4 PNounB4	NounB4 verb NounA1 WrongPLS4 SubjAcc4
48	I sprayed a plastic container with some liquid.	Some liquid was sprayed by someone.	Some liquid was sprayed into a plastic container by someone.	Some liquid was sprayed into a plastic container.	A plastic container was sprayed by someone.	A plastic container was sprayed with some liquid by someone.	A plastic container was sprayed with some liquid.	I sprayed some liquid into a plastic container.	Someone was sprayed some liquid into a plastic container.	I sprayed some liquid a plastic container.	I sprayed with some liquid into a plastic container.	I sprayed some liquid from the pot.	I sprayed some liquid under a plastic container.	Some liquid sprayed someone into a plastic container.	A plastic container sprayed someone with some liquid.	Some liquid sprayed a plastic container someone.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA1	NounAPass1 VerbPass PSubj2	NounAPass1 VerbPass PNounB2 PSubj2	NounAPass1 VerbPass PNounB2	subj1 verb NounB2 PNounA1	SubjPass2 VerbPass NounB2 PNounA1	subj1 verb NounB2 NounA1	subj1 verb PNounB2 PNounA1	subj1 verb NounB2 EmbPP2	subj1 verb NounB2 WrPrep NounA1	NounB2 verb SubjAcc2 PNounA1	NounA1 verb SubjAcc2 PNounB2	NounB2 verb NounA1 WrongPLS2 SubjAcc2
30	We like to baste the meat with butter.	Butter was basted by people.	Butter was basted over the meat by people.	Butter was basted over the meat.	The meat was basted by people.	The meat was basted with butter by people.	The meat was basted with butter.	We like to baste butter over the meat.	People were basted butter over the meat.	We like to baste butter the meat.	We like to baste with butter over the meat.	We like to baste butter of beans.	We like to baste butter under the meat.	Butter baste people over the meat.	The meat baste people with butter.	Butter baste the meat people.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA1	NounAPass1 VerbPass PSubj2	NounAPass1 VerbPass PNounB2 PSubj2	NounAPass1 VerbPass PNounB2	subj1 verb NounB2 PNounA1	SubjPass2 VerbPass NounB2 PNounA1	subj1 verb NounB2 NounA1	subj1 verb PNounB2 PNounA1	subj1 verb NounB2 EmbPP2	subj1 verb NounB2 WrPrep NounA1	NounB2 verb SubjAcc2 PNounA1	NounA1 verb SubjAcc2 PNounB2	NounB2 verb NounA1 WrongPLS2 SubjAcc2
37	You simply rub the writing marks with fingertips.	Fingertips were rubbed by users.	Fingertips were rubbed on the writing marks by users.	Fingertips were rubbed on the writing marks.	The writing marks were rubbed by users.	The writing marks were rubbed with fingertips by users.	The writing marks were rubbed with fingertips.	You simply rub fingertips on the writing marks.	Users were rubbed fingertips on the writing marks.	You simply rub fingertips the writing marks.	You simply rub with fingertips on the writing marks.	You simply rub fingertips of the humanoid robot.	You simply rub fingertips under the writing marks.	Fingertips rub users on the writing marks.	The writing marks rub users with fingertips.	Fingertips rub the writing marks users.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA1	NounAPass1 VerbPass PSubj2	NounAPass1 VerbPass PNounB2 PSubj2	NounAPass1 VerbPass PNounB2	subj1 verb NounB2 PNounA1	SubjPass2 VerbPass NounB2 PNounA1	subj1 verb NounB2 NounA1	subj1 verb PNounB2 PNounA1	subj1 verb NounB2 EmbPP2	subj1 verb NounB2 WrPrep NounA1	NounB2 verb SubjAcc2 PNounA1	NounA1 verb SubjAcc2 PNounB2	NounB2 verb NounA1 WrongPLS2 SubjAcc2
2	Drizzle your cup with the Torani caramel sauce.	Torani caramel sauce was drizzled by you.	Torani caramel sauce was drizzled over your cup by you.	Torani caramel sauce was drizzled over your cup.	Your cup was drizzled by you.	Your cup was drizzled with the Torani caramel sauce by you.	Your cup was drizzled with the Torani caramel sauce.	Drizzle Torani caramel sauce over your cup.	Someone was drizzled Torani caramel sauce over your cup.	Drizzle Torani caramel sauce your cup.	Drizzle with the Torani caramel sauce over your cup.	Drizzle Torani caramel sauce from Argentina.	Drizzle Torani caramel sauce under your cup.	Torani caramel sauce drizzle someone over your cup.	Your cup drizzle someone with the Torani caramel sauce.	Torani caramel sauce drizzle your cup someone.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounB1 PNounA1	SubjPass1 VerbPass NounB1 PNounA1	subj1 verb NounB1 NounA1	subj1 verb PNounB1 PNounA1	subj1 verb NounB1 EmbPP1	subj1 verb NounB1 WrPrep NounA1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb NounA1 WrongPLS1 SubjAcc1
40	Then they sewed the straps with ropes.	Ropes were sewed by the workers.	Ropes were sewed onto the straps by the workers.	Ropes were sewed onto the straps.	The straps were sewed by the workers.	The straps were sewed with ropes by the workers.	The straps were sewed with ropes.	Then they sewed ropes onto the straps.	The workers were sewed ropes onto the straps.	Then they sewed ropes the straps.	Then they sewed with ropes onto the straps.	Then they sewed ropes of silk.	Then they sewed ropes under the straps.	Ropes sewed the workers onto the straps.	The straps sewed the workers with ropes.	Ropes sewed the straps the workers.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA1	NounAPass1 VerbPass PSubj2	NounAPass1 VerbPass PNounB2 PSubj2	NounAPass1 VerbPass PNounB2	subj1 verb NounB2 PNounA1	SubjPass2 VerbPass NounB2 PNounA1	subj1 verb NounB2 NounA1	subj1 verb PNounB2 PNounA1	subj1 verb NounB2 EmbPP2	subj1 verb NounB2 WrPrep NounA1	NounB2 verb SubjAcc2 PNounA1	NounA1 verb SubjAcc2 PNounB2	NounB2 verb NounA1 WrongPLS2 SubjAcc2
15	It spatters you with whatever was on the wheel.	Whatever was on the wheel was spattered by it.	Whatever was on the wheel was spattered over you by it.	Whatever was on the wheel was spattered over you.	You were spattered by it.	You were spattered with whatever was on the wheel by it.	You were spattered with whatever was on the wheel.	It spatters whatever was on the wheel over you.	It was spattered whatever was on the wheel over you.	It spatters whatever was on the wheel you.	It spatters with whatever was on the wheel over you.	It spatters whatever was on the wheel of the car.	It spatters whatever was on the wheel under you.	Whatever was on the wheel spatters It over you.	You spatters It with whatever was on the wheel.	Whatever was on the wheel spatters you It.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounB1 PNounA1	SubjPass1 VerbPass NounB1 PNounA1	subj1 verb NounB1 NounA1	subj1 verb PNounB1 PNounA1	subj1 verb NounB1 EmbPP1	subj1 verb NounB1 WrPrep NounA1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb NounA1 WrongPLS1 SubjAcc1
34	I can can load the box with the food.	They were loaded by users.	They were loaded in the box by users.	They were loaded in the box.	The box was loaded by users.	The box was loaded with the food by users.	The box was loaded with the food.	I can can load the food in the box.	Users were loaded the food in the box.	I can can load the food the box.	I can can load with the food in the box.	I can can load the food on sale.	I can can load the food under the box.	The food can load users in the box.	The box can load users with the food.	The food can load the box users.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA1	NounAPass1 VerbPass PSubj2	NounAPass1 VerbPass PNounB2 PSubj2	NounAPass1 VerbPass PNounB2	subj1 verb NounB2 PNounA1	SubjPass2 VerbPass NounB2 PNounA1	subj1 verb NounB2 NounA1	subj1 verb PNounB2 PNounA1	subj1 verb NounB2 EmbPP2	subj1 verb NounB2 WrPrep NounA1	NounB2 verb SubjAcc2 PNounA1	NounA1 verb SubjAcc2 PNounB2	NounB2 verb NounA1 WrongPLS2 SubjAcc2
54	The other place just sticks a box with the stuff.	The stuff was sticked by Bob.	The stuff was sticked in a box by Bob.	The stuff was sticked in a box.	A box was sticked by Bob.	A box was sticked with the stuff by Bob.	A box was sticked with the stuff.	The other place just sticks the stuff in a box.	Bob was sticked the stuff in a box.	The other place just sticks the stuff a box.	The other place just sticks with the stuff in a box.	The other place just sticks the stuff for sale.	The other place just sticks the stuff under a box.	The stuff sticks Bob in a box.	A box sticks Bob with the stuff.	The stuff sticks a box Bob.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA1	NounAPass1 VerbPass PSubj2	NounAPass1 VerbPass PNounB2 PSubj2	NounAPass1 VerbPass PNounB2	subj1 verb NounB2 PNounA1	SubjPass2 VerbPass NounB2 PNounA1	subj1 verb NounB2 NounA1	subj1 verb PNounB2 PNounA1	subj1 verb NounB2 EmbPP2	subj1 verb NounB2 WrPrep NounA1	NounB2 verb SubjAcc2 PNounA1	NounA1 verb SubjAcc2 PNounB2	NounB2 verb NounA1 WrongPLS2 SubjAcc2
25	Flanagan strews the story with plenty of historical backstory.	Plenty of historical backstory was strewed by Flanagan.	Plenty of historical backstory was strewed in the story by Flanagan.	Plenty of historical backstory was strewed in the story.	The story was strewed by Flanagan.	The story was strewed with plenty of historical backstory by Flanagan.	The story was strewed with plenty of historical backstory.	Flanagan strews plenty of historical backstory in the story.	Flanagan was strewed plenty of historical backstory in the story.	Flanagan strews plenty of historical backstory the story.	Flanagan strews with plenty of historical backstory in the story.	Flanagan strews plenty of historical backstory of the game.	Flanagan strews plenty of historical backstory under the story.	Plenty of historical backstory strews Flanagan in the story.	The story strews Flanagan with plenty of historical backstory.	Plenty of historical backstory strews the story Flanagan.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1	NounAPass1 VerbPass PSubj1	NounAPass1 VerbPass PNounB1 PSubj1	NounAPass1 VerbPass PNounB1	subj1 verb NounB1 PNounA1	SubjPass1 VerbPass NounB1 PNounA1	subj1 verb NounB1 NounA1	subj1 verb PNounB1 PNounA1	subj1 verb NounB1 EmbPP1	subj1 verb NounB1 WrPrep NounA1	NounB1 verb SubjAcc1 PNounA1	NounA1 verb SubjAcc1 PNounB1	NounB1 verb NounA1 WrongPLS1 SubjAcc1
