ID,Sent_1,Sent_2,Sent_3,Sent_4,Sent_5,Sent_6,Sent_7,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Answer_value_1,Answer_value_2,Answer_value_3,Answer_value_4,Answer_value_5,Answer_value_6,Answer_label_1,Answer_label_2,Answer_label_3,Answer_label_4,Answer_label_5,Answer_label_6
0,L'ordinateur avec le programme est en panne .,Les ordinateurs avec le programme sont en panne .,L'ordinateur avec les programmes est en panne .,Les ordinateurs avec les programmes sont en panne .,L'ordinateur avec le programme de l'expérience est en panne .,Les ordinateurs avec le programme de l'expérience sont en panne .,L'ordinateur avec les programmes de l'expérience est en panne .,Les ordinateurs avec les programmes de l'expérience de l’adulte sont en panne .,Les ordinateurs avec les programmes et l'expérience sont en panne .,L'ordinateur avec les programmes de l'expérience sont en panne .,Les ordinateurs avec les programmes de l'expérience sont en panne .,Les ordinateurs avec le programme de l'expérience sont en panne .,Les ordinateurs avec les programmes de l'expérience est en panne .,False,False,False,True,False,False,mis_num,coordination,N1_alter,True,N2_alter,agreement_error
1,L'exposition avec la peinture a rencontré un grand succès .,Les expositions avec la peinture ont rencontré un grand succès .,L'exposition avec les peintures a rencontré un grand succès .,Les expositions avec les peintures ont rencontré un grand succès .,L'exposition avec la peinture de l'enfant a rencontré un grand succès .,Les expositions avec la peinture de l'enfant ont rencontré un grand succès .,L'exposition avec les peintures de l'enfant a rencontré un grand succès .,L'exposition avec les peintures de l'enfant ont rencontré un grand succès .,Les expositions avec les peintures de l'enfant de la crèche ont rencontré un grand succès .,Les expositions avec les peintures de l'enfant a rencontré un grand succès .,Les expositions avec la peinture de l'enfant ont rencontré un grand succès .,Les expositions avec les peintures de l'enfant ont rencontré un grand succès .,Les expositions avec les peintures et l'enfant ont rencontré un grand succès .,False,False,False,False,True,False,N1_alter,mis_num,agreement_error,N2_alter,True,coordination
2,Le trousseau avec la clé repose sur l’étagère .,Les trousseaux avec la clé reposent sur l’étagère .,Le trousseau avec les clés repose sur l’étagère .,Les trousseaux avec les clés reposent sur l’étagère .,Le trousseau avec la clé de la cellule repose sur l’étagère .,Les trousseaux avec la clé de la cellule reposent sur l’étagère .,Le trousseau avec les clés de la cellule repose sur l’étagère .,Les trousseaux avec les clés de la cellule reposent sur l’étagère .,Le trousseau avec les clés de la cellule reposent sur l’étagère .,Les trousseaux avec les clés de la cellule du prisonnier reposent sur l’étagère .,Les trousseaux avec les clés de la cellule repose sur l’étagère .,Les trousseaux avec la clé de la cellule reposent sur l’étagère .,Les trousseaux avec les clés et la cellule reposent sur l’étagère .,True,False,False,False,False,False,True,N1_alter,mis_num,agreement_error,N2_alter,coordination
3,Le livre sur la privatisation a enthousiasmé l’auditoire .,Les livres sur la privatisation ont enthousiasmé l’auditoire .,Le livre sur les privatisations a enthousiasmé l’auditoire .,Les livres sur les privatisations ont enthousiasmé l’auditoire .,Le livre sur la privatisation de l'entreprise a enthousiasmé l’auditoire .,Les livres sur la privatisation de l'entreprise ont enthousiasmé l’auditoire .,Le livre sur les privatisations de l'entreprise a enthousiasmé l’auditoire .,Le livre sur les privatisations de l'entreprise ont enthousiasmé l’auditoire .,Les livres sur les privatisations de l'entreprise a enthousiasmé l’auditoire .,Les livres sur les privatisations de l'entreprise ont enthousiasmé l’auditoire .,Les livres sur les privatisations de l'entreprise dans la ville ont enthousiasmé l’auditoire .,Les livres sur les privatisations et l'entreprise ont enthousiasmé l’auditoire .,Les livres sur la privatisation de l'entreprise ont enthousiasmé l’auditoire .,False,False,True,False,False,False,N1_alter,agreement_error,True,mis_num,coordination,N2_alter
4,La conférence sur l'histoire a commencé plus tard que prévu .,Les conférences sur l'histoire ont commencé plus tard que prévu .,La conférence sur les histoires a commencé plus tard que prévu .,Les conférences sur les histoires ont commencé plus tard que prévu .,La conférence sur l'histoire de la guerre a commencé plus tard que prévu .,Les conférences sur l'histoire de la guerre ont commencé plus tard que prévu .,La conférence sur les histoires de la guerre a commencé plus tard que prévu .,Les conférences sur les histoires de la guerre ont commencé plus tard que prévu .,La conférence sur les histoires de la guerre ont commencé plus tard que prévu .,Les conférences sur les histoires de la guerre a commencé plus tard que prévu .,Les conférences sur les histoires et la guerre ont commencé plus tard que prévu .,Les conférences sur les histoires de la guerre de succession ont commencé plus tard que prévu .,Les conférences sur l'histoire de la guerre ont commencé plus tard que prévu .,True,False,False,False,False,False,True,N1_alter,agreement_error,coordination,mis_num,N2_alter
5,L'étude sur l'effet apparaîtra bientôt .,Les études sur l'effet apparaîtront bientôt .,L'étude sur les effet apparaîtra bientôt .,Les études sur les effet apparaîtront bientôt .,L'étude sur l'effet de la drogue apparaîtra bientôt .,Les études sur l'effet de la drogue apparaîtront bientôt .,L'étude sur les effet de la drogue apparaîtra bientôt .,Les études sur les effet de la drogue de la région apparaîtront bientôt .,Les études sur les effet et la drogue apparaîtront bientôt .,Les études sur les effet de la drogue apparaîtront bientôt .,Les études sur l'effet de la drogue apparaîtront bientôt .,Les études sur les effet de la drogue apparaîtra bientôt .,L'étude sur les effet de la drogue apparaîtront bientôt .,False,False,True,False,False,False,mis_num,coordination,True,N2_alter,agreement_error,N1_alter
6,La théorie sur le chant divise les chercheurs .,Les théories sur le chant divisent les chercheurs .,La théorie sur les chants divise les chercheurs .,Les théories sur les chants divisent les chercheurs .,La théorie sur le chant du canari divise les chercheurs .,Les théories sur le chant du canari divisent les chercheurs .,La théorie sur les chants du canari divise les chercheurs .,Les théories sur le chant du canari divisent les chercheurs .,La théorie sur les chants du canari divisent les chercheurs .,Les théories sur les chants du canari divise les chercheurs .,Les théories sur les chants du canari de la montagne divisent les chercheurs .,Les théories sur les chants et le canari divisent les chercheurs .,Les théories sur les chants du canari divisent les chercheurs .,False,False,False,False,False,True,N2_alter,N1_alter,agreement_error,mis_num,coordination,True
7,L'inscription sur la porte a énervé sa mère .,Les inscriptions sur la porte ont énervé sa mère .,L'inscription sur les portes a énervé sa mère .,Les inscriptions sur les portes ont énervé sa mère .,L'inscription sur la porte de la chambre a énervé sa mère .,Les inscriptions sur la porte de la chambre ont énervé sa mère .,L'inscription sur les portes de la chambre a énervé sa mère .,Les inscriptions sur les portes de la chambre a énervé sa mère .,Les inscriptions sur les portes et la chambre ont énervé sa mère .,Les inscriptions sur les portes de la chambre ont énervé sa mère .,L'inscription sur les portes de la chambre ont énervé sa mère .,Les inscriptions sur les portes de la chambre de la fille ont énervé sa mère .,Les inscriptions sur la porte de la chambre ont énervé sa mère .,False,False,True,False,False,False,agreement_error,coordination,True,N1_alter,mis_num,N2_alter
8,Le dépliant sur l'enjeu a beaucoup intéressé .,Les dépliants sur l'enjeu ont beaucoup intéressé .,Le dépliant sur les enjeux a beaucoup intéressé .,Les dépliants sur les enjeux ont beaucoup intéressé .,Le dépliant sur l'enjeu de la communauté a beaucoup intéressé .,Les dépliants sur l'enjeu de la communauté ont beaucoup intéressé .,Le dépliant sur les enjeux de la communauté a beaucoup intéressé .,Les dépliants sur l'enjeu de la communauté ont beaucoup intéressé .,Les dépliants sur les enjeux et la communauté ont beaucoup intéressé .,Les dépliants sur les enjeux de la communauté ont beaucoup intéressé .,Le dépliant sur les enjeux de la communauté ont beaucoup intéressé .,Les dépliants sur les enjeux de la communauté a beaucoup intéressé .,Les dépliants sur les enjeux de la communauté de la campagne ont beaucoup intéressé .,False,False,True,False,False,False,N2_alter,coordination,True,N1_alter,agreement_error,mis_num
9,La ligne sur le bord a disparu .,Les lignes sur le bord ont disparu .,La ligne sur les bords a disparu .,Les lignes sur les bords ont disparu .,La ligne sur le bord de la route a disparu .,Les lignes sur le bord de la route ont disparu .,La ligne sur les bords de la route a disparu .,Les lignes sur le bord de la route ont disparu .,Les lignes sur les bords de la route a disparu .,Les lignes sur les bords de la route de la région ont disparu .,Les lignes sur les bords et la route ont disparu .,Les lignes sur les bords de la route ont disparu .,La ligne sur les bords de la route ont disparu .,False,False,False,False,True,False,N2_alter,agreement_error,mis_num,coordination,True,N1_alter
10,La nappe sur la table brille au soleil .,Les nappes sur la table brillent au soleil .,La nappe sur les tables brille au soleil .,Les nappes sur les tables brillent au soleil .,La nappe sur la table du banquet brille au soleil .,Les nappes sur la table du banquet brillent au soleil .,La nappe sur les tables du banquet brille au soleil .,Les nappes sur les tables du banquet brillent au soleil .,Les nappes sur la table du banquet brillent au soleil .,La nappe sur les tables du banquet brillent au soleil .,Les nappes sur les tables du banquet brille au soleil .,Les nappes sur les tables et le banquet brillent au soleil .,Les nappes sur les tables du banquet de la grand-mère brillent au soleil .,True,False,False,False,False,False,True,N2_alter,N1_alter,agreement_error,coordination,mis_num
11,Le récit de la souffrance touche les participants .,Les récits de la souffrance touchent les participants .,Le récit de les souffrances touche les participants .,Les récits de les souffrances touchent les participants .,Le récit de la souffrance dans l'hôpital touche les participants .,Les récits de la souffrance dans l'hôpital touchent les participants .,Le récit de les souffrances dans l'hôpital touche les participants .,Les récits de la souffrance dans l'hôpital touchent les participants .,Les récits de les souffrances dans l'hôpital touchent les participants .,Les récits de les souffrances dans l'hôpital du département touchent les participants .,Les récits de les souffrances et l'hôpital touchent les participants .,Les récits de les souffrances dans l'hôpital touche les participants .,Le récit de les souffrances dans l'hôpital touchent les participants .,False,True,False,False,False,False,N2_alter,True,mis_num,coordination,agreement_error,N1_alter
12,La visite au palais approche .,Les visites au palais approchent .,La visite aux palais approche .,Les visites aux palais approchent .,La visite au palais de l'artisanat approche .,Les visites au palais de l'artisanat approchent .,La visite aux palais de l'artisanat approche .,Les visites aux palais de l'artisanat approche .,Les visites au palais de l'artisanat approchent .,Les visites aux palais de l'artisanat approchent .,Les visites aux palais de l'artisanat du milieu rural approchent .,La visite aux palais de l'artisanat approchent .,Les visites aux palais et l'artisanat approchent .,False,False,True,False,False,False,agreement_error,N2_alter,True,mis_num,N1_alter,coordination
13,La menace de la réforme inquiète les médecins .,Les menaces de la réforme inquiètent les médecins .,La menace de les réformes inquiète les médecins .,Les menaces de les réformes inquiètent les médecins .,La menace de la réforme dans l'école inquiète les médecins .,Les menaces de la réforme dans l'école inquiètent les médecins .,La menace de les réformes dans l'école inquiète les médecins .,Les menaces de les réformes et l'école inquiètent les médecins .,Les menaces de les réformes dans l'école inquiètent les médecins .,Les menaces de la réforme dans l'école inquiètent les médecins .,Les menaces de les réformes dans l'école dans le secteur médical inquiètent les médecins .,La menace de les réformes dans l'école inquiètent les médecins .,Les menaces de les réformes dans l'école inquiète les médecins .,False,True,False,False,False,False,coordination,True,N2_alter,mis_num,N1_alter,agreement_error
14,L'hélicoptere pour le vol s'écrase .,Les hélicopteres pour le vol s’écrasent .,L'hélicoptere pour les vols s'écrase .,Les hélicopteres pour les vols s’écrasent .,L'hélicoptere pour le vol au-dessus du canyon s'écrase .,Les hélicopteres pour le vol au-dessus du canyon s’écrasent .,L'hélicoptere pour les vols au-dessus du canyon s'écrase .,Les hélicopteres pour les vols au-dessus du canyon s'écrase .,Les hélicopteres pour les vols au-dessus du canyon s’écrasent .,Les hélicopteres pour les vols au-dessus du canyon dans la réserve indienne s’écrasent .,Les hélicopteres pour les vols et le canyon s’écrasent .,L'hélicoptere pour les vols au-dessus du canyon s’écrasent .,Les hélicopteres pour le vol au-dessus du canyon s’écrasent .,False,True,False,False,False,False,agreement_error,True,mis_num,coordination,N1_alter,N2_alter
15,La soirée dans l'appartement a gêné les voisins .,Les soirées dans l'appartement ont gêné les voisins .,La soirée dans les appartements a gêné les voisins .,Les soirées dans les appartements ont gêné les voisins .,La soirée dans l'appartement du sous-sol a gêné les voisins .,Les soirées dans l'appartement du sous-sol ont gêné les voisins .,La soirée dans les appartements du sous-sol a gêné les voisins .,La soirée dans les appartements du sous-sol ont gêné les voisins .,Les soirées dans les appartements et le sous-sol ont gêné les voisins .,Les soirées dans les appartements du sous-sol a gêné les voisins .,Les soirées dans l'appartement du sous-sol ont gêné les voisins .,Les soirées dans les appartements du sous-sol de ma fille ont gêné les voisins .,Les soirées dans les appartements du sous-sol ont gêné les voisins .,False,False,False,False,False,True,N1_alter,coordination,agreement_error,N2_alter,mis_num,True
16,Le producteur du film a gagné la palme d’or .,Les producteurs du film ont gagné la palme d’or .,Le producteur des films a gagné la palme d’or .,Les producteurs des films ont gagné la palme d’or .,Le producteur du film sur l'artiste a gagné la palme d’or .,Les producteurs du film sur l'artiste ont gagné la palme d’or .,Le producteur des films sur l'artiste a gagné la palme d’or .,Les producteurs des films et l'artiste ont gagné la palme d’or .,Les producteurs des films sur l'artiste a gagné la palme d’or .,Les producteurs des films sur l'artiste du centre-ville ont gagné la palme d’or .,Les producteurs du film sur l'artiste ont gagné la palme d’or .,Les producteurs des films sur l'artiste ont gagné la palme d’or .,Le producteur des films sur l'artiste ont gagné la palme d’or .,False,False,False,False,True,False,coordination,agreement_error,mis_num,N2_alter,True,N1_alter
17,Le chat sur le toit miaule depuis hier soir .,Les chats sur le toit miaulent depuis hier soir .,Le chat sur les toits miaule depuis hier soir .,Les chats sur les toits miaulent depuis hier soir .,Le chat sur le toit du voisin miaule depuis hier soir .,Les chats sur le toit du voisin miaulent depuis hier soir .,Le chat sur les toits du voisin miaule depuis hier soir .,Les chats sur les toits du voisin de mon frère miaulent depuis hier soir .,Les chats sur les toits du voisin miaulent depuis hier soir .,Les chats sur les toits du voisin miaule depuis hier soir .,Le chat sur les toits du voisin miaulent depuis hier soir .,Les chats sur le toit du voisin miaulent depuis hier soir .,Les chats sur les toits et le voisin miaulent depuis hier soir .,False,True,False,False,False,False,mis_num,True,agreement_error,N1_alter,N2_alter,coordination
